nohhold,nomem,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x
12747,1,4,2,4,5,3, , ,2,1,2,4,2, ,3,1,1,3,1,1,4,5,7,7,1,1,4,1,7,5,1,1,7,5,4,5,3,5,3,4,3,7,7,7,1,4,6,2,-9,4,3,4,5,4,5,6,5,2,2,5,3,6,1,1,4,1,1,4,1,2,-9,-9,3,25,100,100,10,100,1,1,3,1,3,1,2,9,2,11,5,1,40,36,1,8,3,4,2,1,3,3,2,3,1,2,1,3,2,3,3,4,4,2,3,1,3,3,4,4,4,4,3,2,2,3,3,4,2,2,4,1,1,4,1,4,1,2,2,4,2,5,4,4,1,3,5,4,6,4,6,7,7,2,6,2,2,2,2,6,6,6,6,5,1,6,7,6, , , , , , ,1,5,1,3,4,2
12749,1,3,2,3,4,2, , ,2,1,2,3,2, ,3,1,1,1,3,4,6,5,5,6,1,1,5,5,6,4,1,6,6,6,4,4,4,5,3,6,1,2,7,7,1, ,1,1,-7,6,4,1,4,4,5,5,5,1,4,2,4,2,5,3,2,1,1,4,2, ,-9,-9,2,0,100,0,0,100,1,1,3,2,3,2,2,9,3,9,3,4,38,16,1,1,5,1,3,1,5,5,2,3,1,5,1,1,3,4,1,5,3,3,4,1,3,5,3,5,3,3,3,1,3,3,1,5,3,1,5,1,3,3,5,5,1,4,1,5,3,3,2,4,2,3,3,6,5,5,6,6,6,1,7,1,1,1,1,7,7,7,7,7,1,4,7,4, , , , , , ,1,2,4,2,2,2
12766,1,-9, ,3,4,2, , ,-7,3,2,3,2, ,-9,1,2, ,3,1,1,6,6,6,6,5,7,1,6,6,1,1,6,7,6,4,4,4,4,4,4,4, , , , , , , ,4,4,6,3,4,4,4,4,4,4,5,5,6,3,1,1,1,1,4,1,1,2,-9,2,0,0,0,0,0,2, , , , , ,3,5,3,-9,3,4,34,34,2,1,4,3,2,1,3,5,2,4,2,4,1,4,4,3,2,3,3,3,3,3,4,2,5,4,3,3,3,3,3,4,4,3,3,3,2,3,2,4,2,3,4,3,2,3,4,4,4,3,3,3,5,2,4,1,4,6,3,2,3,2,4,5,3,5,5,5,5,5,5,4,5,5, , , , , , , , , , , , 
12767,2,4,2,3,3,2, , ,2,3,2,4,2, ,3,1,1,2,1,4,5,5,4,3,3,2,4,3,6,3,3,5,5,5,3,4,3,5,3,5,3,5,5,5,3,5,3,3,1,3,3,5,3,5,2,5,4,5,4,2,4,4,5,2,3,2,1,4,2, ,-9,2,4,60,60,10,5,100,1,1,2,1,3,1,2,7,4,10,6,4,40,20,1,1,2,3,2,2,4,4,2,4,2,4,2,2,2,4,2,4,4,3,4,2,4,4,2,4,2,3,4,2,3,3,2,5,3,1,4,1,2,5,2,4,1,4,4,4,2,4,2,5,1,2,3,3,5,3,5,5,5,4,5,3,3,3,3,5,4,4,6,5,6,4,6,4, , , , , , , , , , , , 
12775,1,-9,2,2,3,2, , ,-7,5,2,2,2, ,4,1,1,-9,2,1,1,7,7,7,7,5,5,1,5,7,1,1,7,5,5,1,1,1,1,1,1,1, , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,2,1,2,2, ,2,-9,2,75,0,0,0,50,2, , , , , ,2,8,2,-9,5,4,5,5,2,8,4,3,3,1,4,4,4,4,3,5,1,3,3,3,3,4,3,2,3,1,3,2,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,3,3,4,2,6,6,2,1,7,2,2,3,3,2,2,6,6,2, , , , , , ,1,5,2,4,1,2
12778,1,5,3,5,5,3, , ,-7,1,2,5,2, ,3,1,1,6,1,6,6,5,6,6,6,2,5,6,6,5,4,5,5,5,5,4,2,2,4,3,2,1,4,4,1,7,1,1,-7,1,1,6,4,4,4,3,4,3,3,3,3,6,1,1,3,1,1,4,1,1,-9,1,4,10,90,50,10,100,1,3,2,1,3,2,1,6,5,11,7,4,40,24,2,8,2,5,2,3,3,3,5,3,5,3,5,1,4,5,1,5,5,3,5,2,4,4,2,4,5,3,4,1,4,3,2,4,4,3,4,2,1,4,4,4,2,2,4,5,3,4,2,4,1,3,6,4,6,5,4,4,4,4,5,4,4,4,4,6,5,5,5,5,7,5,5,3,1,5,5,3,1,1, , , , , , 
12780,2,4,2,3,4,2, , ,-7,2,2,3,2, ,3,1,2, ,2,4,5,6,4,5,2,1,5,3,5,5,2,5,5,5,5,4,4,3,4,4,4,2,6,3,2,6,2,1,-7,3,2,4,5,4,3,4,4,2,4,2,2,5,2,1,3,3,1,4,1,1,-9,-9,3,90,60,40,10,80,1,1,3,1,3,1,1,6,4,9,6,4,40,15,1,1,4,1,3,1,4,5,1,3,1,4,2,2,2,4,1,5,5,3,5,1,3,4,2,4,4,3,4,2,2,3,2,5,1,2,3,2,1,4,3,5,1,2,3,4,2,4,2,3,1,3,4,2,2,2,2,5,4,2,6,2,4,2,1, , , , , , , , , , , , , , , ,4,4,3,3,1,2
12783,1,3,2,3,3,2, , ,-7,2,2,3,2, ,3,2,2, ,2,1,4,5,4,5,3,3,6,1,5,5,6,3,6,5,5,5,4,2,6,5,5,5,4,4,1,5,3,3,-7,4,3,4,3,5,3,4,4,4,4,4,4,4,4,2,3,2,1,2,2, ,2,-9,2,10,5,1,1,1,2, , ,2,3,2,2,6,2,8,5,4,38,32,1,4,2,3,3,1,4,4,3,4,2,4,4,1,2,4,1,4,4,3,4,2,2,5,2,4,5,3,3,2,1,5,1,4,1,1,4,2,2,5,3,4,1,3,4,4,1,4,3,4,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,3,5,4, , , , , , ,1,2,4,2,2,3
12783,2,3,2,3,4,2, , ,2,2,2,4,2, ,3,2,1,1,2,4,4,5,5,5,3,4,5,4,5,5,4,5,5,5,5,5,4,4,4,4,4,3,6,6,1,4,2,2,-7,2,3,5,5,4,4,4,4,4,4,4,4,4,4,2,3,2,1,3,1,1,-9,-9,2,25,25,10,5,50,2, , ,1,3,2,2,6,1,7,5,4,42,24,2,1,3,3,2,3,4,4,2,3,2,3,3,2,2,4,2,4,3,3,4,2,4,4,3,4,3,3,4,2,3,4,2,4,3,2,4,2,2,4,3,4,2,3,2,4,3,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,6,4,5,3, , , , , , ,1,3,2,2,2,2
12789,1,4,2,4,4,2, , ,1,3,2,3,2, ,-9,1,1,2,1,2,3, ,7,6,1,1,6,2,7,4,1,2,7,6,4,4,4,4,4,4,4,4,4,4,1,4,1,1,-9,4,4,4,4,4,4,7,4,1,4,4,4,4,2,1,3,2,1,3,2, ,-9,-9,4,50,50,0,0,50,1,-9,3,1,3,1,2,10,2,-9,2,4,0,0,2,8,3,2,2,1,4,4,1,3,2,3,2,1,2,5,3,4,3,2,4,2,3,3,3,4,2,2,3,2,2,3,3,4,2,3,3,1,3,5,3,4,2,3,3,4,3,4,4,3,1,2,4,4,4,1,6,4,4,5,7,3,1,4,4,7,7,7,7,6,6,5,6,4, , , , , , , , , , , , 
12790,2,3,2,4,5,3, , ,2,1,2,4,2, ,4,1,1,2,1,3,4,6,3,4,2,3,4,4,5,6,2,4,6,3,4,5,5,3,3,4,5,6,5,2,4,6,4,2,2,4,5,2,6,4,3,6,5,1,1,4,2,6,2,2,4,2,1,2,2, ,-9,-9,3,20,100,100,20,100,1,2,3,1,3,1,2,10,3,9,5,2,50,15,1,9,3,3,2,4,5,5,2,3,2,3,3,2,2,3,3,3,4,2,3,1,4,5,3,3,3,3,4,3,2,3,2,3,2,2,3,3,2,4,3,3,2,1,2,4,2,3,2,3,2,4,5,3,5,5,5,6,3,2,4,4,4,4,4,4,3,6,4,4,2,3,4,6, , , , , , ,4,1,1,1,4,4
12798,1,3,2,3,4,2, , ,2,2,2,4,2, ,4,1,1,2,1,4,4,6,4,4,5,2,5,2,5,3,2,4,4,4,4,2,2,2,2,4,2,3,7,7,1,7,1,1,-7,4,3,3,3,5,4,6,4,2,4,2,2,4,2,2,4,1,1,3,2, ,2,-9,4,5,25,5,0,25,2, , , , , ,2,5,2,7,6,4,40,40,1,8,4,2,2,2,4,5,3,3,1,3,2,1,1,3,3,4,4,2,3,2,3,5,3,3,5,3,3,3,2,3,2,3,1,1,3,1,1,4,3,4,1,3,3,4,2,3,3,4,1,3,4,4,5,3,4,4,4,4,4,4,4,2,3,6,4,7,7,7,2,2,2,4, , , , , , ,1,2,3,2,2,2
12805,1,3,2,4,4,3, , ,2,2,2,3,2, ,2,2,1,5,2,6,7,5,5,4,7,6,7,7,6,6,5,4,7,6,5,6,6,5,7,4,6,7,6,7,5,5,6,5,2,5,6,6,5,6,6,3,6,3,5,5,6,6,3,1,3,4,1,4,1,1,-9,-9,2,25,85,100,10,100,1,-9,2,2,2,5,2,11,2,7,2,4,38,25,1,6,5,3,4,2,3,5,4,4,1,5,4,4,2,4,3,4,3,2,5,1,5,4,1,4,5,3,4,5,5,5,2,5,3,2,4,3,2,3,4,4,2,1,5,4,3,5,4,5,2,2,7,5,6,2,5,7,5,6,7,6,5,6,1, , , , , , , , , , , , , , , ,3,2,1,4,3,2
12808,1,3,2,4,4,3, , ,-7,1,2,3,2, ,2,1,1,3,1,6,5,5,5,5,5,4,5,5,5,5,1,5,5,5,5,4,4,2,6,3,5,5,4,2,4,6,4,4,2,5,5,4,5,5,5,5,5,3,4,3,4,6,3,3,3,2,1,4,2, ,-9,-9,4,50,80,50,0,100,1,3,2,2,2,1,2,10,2,7,5,5,40,20,2,3,4,1,3,1,4,4,2,4,1,4,2,2,1,4,3,4,4,3,4,1,3,4,3,4,5,3,3,2,3,3,3,4,2,3,3,2,1,4,4,3,1,3,4,4,3,4,2,4,1,3,5,5,5,5,6,6,5,2,4,2,3,3,2, , , , , , , , , , , , , , , ,4,5,2,2,4,4
12809,1,3,2,4,3,1,2, ,-7,1,2,1,1,3,2,1,2, ,3,3,7,7,7,6,7,2,2,2,5,5,1,4,7,5,6,4,3,3,3,3,3,6,7,7,1,7,1,1,1,1,2,5,2,5,2,6,4,5,1,3,3,6,1,3,5,1,1,4,1,2,-9,2,-9,30,100,95,30,100,1,2,3,1,3,1,2,12,2,7,4,5,0,0,3,8,4,2,1,1,3,4,3,5,1,3,2,4,1,4,3,2,4,2,3,1,3,2,3,2,4,3,3,3,1,3,3,4,1,4,3,4,1,3,2,2,1,2,4,1,4,4,2,2,1,3,4,4,4,5,5,5,6,3,4,6,1,1,1, , , , , , , , , , , , , , , ,4,5,1,4,3,2
12810,1,3,2,4,4,2, , ,-7,3,2,3,2, ,-9,2,2, ,-9,1,1,2,4,4,1,1,3,1,5,3,1,1,5,5,4,4,2,4,4,5,3,4,1,5,1,4,1,1,-7,1,1,4,4,4,2,4,2,4,5,4,4,5,3,2,3,1,1,4,1,1,2,-9,3,40,0,0,0,0,2, , , , , ,2,7,4,7,3,4,40,24,1,1,3,1,3,2,4,5,2,3,1,4,2,2,1,3,4,4,3,2,4,1,3,4,4,4,4,2,3,2,3,5,3,4,3,2,3,2,1,3,5,3,2,2,2,4,2,3,4,3,1,5,2,3,3,4,5,5,4,4,5,4,4,3,3,1,1,6,5,5,5,4,1,1, , , , , , , , , , , , 
12827,1,2,2,2,3,2, , ,-7,4,2,3,2, ,2,1,2, ,2,7,5,7,7,7,1,1,3,6,6,6,1,6,7,1,4,3,2,4,3,5,3,3,6,6,1,6,1,1,-7,5,6,2,5,5,4,3,6,2,6,3,2,7,1,3,4,4,1,2,2, ,2,2,-9,10,40,0,0,90,1,1,2,2,4,-9,3,13,2,6,2,5,0,0,2,9,4,1,1,1,3,4,2,3,2,4,1,2,3,4,3,3,4,3,3,1,4,4,3,3,4,5,4,3,2,3,3,3,2,4,3,2,3,4,4,4,2,2,2,4,3,4,3,4,2,3,5,5,5,2,6,6,5,2,3,3,5,5,2, , , , , , , , , , , , , , , ,4,5,1,4,3,2
12837,1,3,2,4,5,3, , ,2,1,2,4,2, ,2,2,1,3,2,1,1,6,5,4,1,1,5,1,6,6,2,1,4,4,2,5,4,3,5,5,4,6,5,3,1,5,2,6,3,2,3,4,2,4,2,5,4,5,5,4,3,5,2,1,1,1,1,2,2, ,-9,2,2,30,20,10,0,60,2, , ,1,4,1,2,9,2,9,4,4,32,20,2,3,4,1,3,2,4,4,1,3,2,4,1,1,1,4,5,4,4,2,3,1,2,4,5,4,4,2,3,2,2,3,2,4,1,2,2,2,1,4,4,4,1,2,2,4,2,5,4,3,1,4,3,5,3,3,5,5,3,3,3,3,3,3,2,6,6,5,6,5,5,5,6,3, , , , , , ,4,5,1,1,3,2
12837,2,4,2,4,4,3, , ,-7,3,2,3,2, ,3,1,1,-9,2,1,1,4,4,4,3,4,4,1,4,4,1,1,4,4,4,4,4,2,5,4,4,6,6,6,2,6,4,2,1,5,4,4,3,5,4,5,4,5,4,4,4,6,2,2,3,2,1,3,2, ,-9,-9,3,10,10,50,50,75,2, , ,2,3,1,2,10,2,-9,6,4,32,24,2,8,2,4,2,3,3,3,4,3,3,3,1,2,4,4,3,2,3,3,3,4,4,3,3,4,2,3,3,2,4,3,3,3,3,3,3,3,3,3,4,4,4,3,2,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , ,1,4,5,2,2,2
12838,1,3,2,2,3,1,2, ,1,2,2,2,1,4,4,1,1,2,1,2,6,6,6,6,2,2,7,2,6,2,2,6,7,5,5,4,4,4,4,6,3,5,2,1,4,5,4,6,4,4,4,2,2,6,3,6,3,2,2,2,4,5,6,2,3,2,1,4,1,1,-9,-9,3,50,85,10,1,100,1,1,3,3,3,1,2,8,4,8,5,4,40,40,2,1,2,5,2,4,3,3,4,4,2,4,1,1,4,2,4,4,3,3,2,3,4,3,5,4,4,5,3,2,5,3,2,3,4,3,1,3,4,2,5,4,4,3,2,4,4,3,5,2,3,3,6,6,6,4,4,5,5,1,6,2,1,1,1,5,5,5,5,6,1,6,6,5, , , , , , ,4,5,1,1,1,1
12839,1,1,2,3,3,2, , ,-7,3,2,3,2, ,4,2,2, ,3,3,7,6,6,4,4,4,6,4,7,5,2,5,7,6,6,4,3,4,2,2,2,3,5,2,2,6,2,4,-9,6,5,3,5,6,5,3,5,6,6,6,5,4,3,1,2,1,1,3,2, ,2,-9,-9,40,100,20,10,100,2, , , , , ,3,7,1,5,4,2,0,0,2,9,1,5,1,1,3,4,2,2,3,2,3,1,4,5,1,4,4,2,3,2,4,4,3,3,2,2,3,2,5,4,1,5,3,1,3,2,1,4,3,4,2,5,2,2,1,3,5,3,3,5,5,3,3,1,4,5,7,4,6,5,3,6,4, , , , , , , , , , , , , , , ,1,4,3,2,3,2
12854,1,2,2,4,4,3, , ,2,1,2,4,2, ,4,1,1,2,1,1,1,6,5,6,2,4,7,1,6,6,4,2,4,4,6,4,4,3,4,6,4,3,4,5,1,6,1,2,1,2,2,6,4,6,4,5,4,4,4,4,3,5,1,2,2,1,1,2,1,1,2,-9,3,70,80,20,2,100,2, , , , , ,1,5,2,5,4,4,40,30,1,1,2,4,2,1,4,5,4,4,1,3,2,1,2,4,3,5,4,1,5,1,2,4,2,5,4,2,3,1,3,4,1,5,3,2,3,1,2,4,2,4,1,3,4,4,2,4,3,4,2,3,4,5,5,2,6,5,5,3,4,3,2,3,3,7,6,7,7,7,3,3,6,6, , , , , , ,3,4,3,2,3,1
12855,1,2,2,4,3,3, , ,-7,2,2,3,1,4,3,1,1,3,1,1,1,6,6,5,2,1,5,1,5,5,1,1,7,6,5,4,4,5,5,6,3,5,6,6,2,6,1,1,4,3,6,5,3,2,4,5,4,4,5,5,4,5,2,3,3,1,1,4,1,1,-9,2,-9,20,80,0,0,90,2, , , , , ,2,7,3,7,5,4,40,20,2,1,1,2,2,4,4,4,2,3,2,2,1,4,2,4,5,4,4,3,2,1,3,2,5,3,5,3,2,2,3,3,4,4,1,3,1,2,1,4,5,4,1,2,1,3,2,5,5,3,1,2,5,5,3,3,3,6,3,5,6,3,1,2,2,6,6,5,5,5,1,3,6,5, , , , , , , , , , , , 
12856,1,3,2,3,4,3, , ,2,2,2,4,2, ,3,1,1,2,2,1,4,6,6,5,1,3,5,1,7,6,1,5,7,5,5,4,2,4,2,4,2,3,2,2,5,4,4,5,4,2,5,2,4,4,5,6,6,3,2,3,3,5,3,1,3,1,1,2,2, ,-9,-9,3,50,80,20,0,99,1,1,3,1,3,1,2,9,3,8,4,4,38,15,2,8,4,3,3,2,4,4,2,4,1,5,2,2,1,3,4,4,4,2,3,1,3,3,4,4,3,3,3,2,2,4,3,4,2,2,2,2,2,3,4,3,2,1,2,4,2,4,4,3,2,3,5,2,3,2,5,5,2,3,6,5,2,2,5,5,2,6,4,4,2,5,2,1, , , , , , ,4,5,1,3,4,3
12857,1,-9, ,4,4,3, , ,2,2,2,4,2, ,3,1,1,3,1,5,6,6,6,6,4,4,6,6,6,6,2,4,6,6,6,4,4,2,4,2,4,4, , , , , , , ,5,2,4,4,6,4,4,4,4,4,4,4,5,2,4,3,1,1,4,1,1,2,-9,3,5,80,80,50,100,1,1,3,2,3,2,1,8,4,-9,6,4,40,25,2,8,4,1,3,1,4,4,1,4,1,4,3,2,2,3,2,4,4,2,4,1,3,4,3,4,4,2,4,2,4,4,2,4,2,2,4,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,6,4,2,4,5,4,2,6,4,2,2,2,6,6,6,6,6,4,6,6,6, , , , , , ,1,3,3,4,3,3
12862,1,3,2,4,4,3, , ,2,1,2,2,1,4,3,2,1,3,2,5,5,5,3,4,4,3,6,5,4,5,4,4,5,3,4,4,3,5,3,4,3,6,4,3,1,5,1,1,1,6,5,3,6,3,3,5,5,3,3,3,4,4,2,3,4,1,1,2,2, ,2,-9,3,30,90,40,5,99,1,-9,3,2,3,1,3,9,2,7,5,4,36,15,3,3,4,1,3,1,3,4,1,4,1,4,2,2,3,4,4,4,2,4,3,1,4,4,4,4,3,4,2,2,2,3,3,3,2,3,3,2,2,4,4,4,2,3,3,4,2,4,3,3,2,3,4,5,5,4,6,5,4,3,5,3,3,2,2, , , , , , , , , , , , , , , ,1,1,4,2,2,3
12862,2,3,3,5,4,3, , ,2,1,2,4,2, ,3,1,1,3,1,2,7,7,6,7,4,2,7,1,7,7,2,6,7,6,6,5,5,1,5,2,5,7,7,6,1,6,1,1,-7,4,4,3,5,5,5,5,4,3,5,5,3,6,1,4,4,1,1,4,1,1,2,-9,4,0,80,40,2,50,1,1,3,1,3,1,2,7,4,-9,4,4,38,15,3,9,4,3,3,1,4,4,2,4,1,4,3,2,3,4,3,4,3,3,3,1,3,3,3,4,3,3,4,2,2,4,3,4,4,2,4,2,2,4,4,4,3,3,2,4,3,4,3,4,3,4,3,3,3,2,5,5,5,2,4,2,2,2,5,7,7,5,7,7,4,4,6,4, , , , , , ,1,2,4,2,3,3
12862,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,3,6,1,6,6,3,3,1,4,4,5,2,5,5,3,3,5,5,4,4,4,4,4,4,5,2,4,4,1,1,4,2, ,2,-9,4,30,70,60,40,100,2, , ,3, , ,2,3,3,5,6,4,25,20,2,8,2,2,4,4,2,2,3,2,3,3,2,2,5,3,4,2,1,4,2,3,4,2,5,2,3,4,2,4,4,1,5,3,4,4,2,4,3,2,4,2,3,2,2,2,4,1,4,2,4,1,5,5,6,6,5,6,6,2,5,1,4,2,2, , , , , , , , , , , , , , , ,1,2,4,2,1,2
12868,1,4,2,4,4,2, , ,-7,2,2,4,2, ,2,1,1,2,2,2,6,6,5,6,1,5,6,2,5,6,1,4,5,5,5,5,4,4,5,4,4,5,5,2,1,4,4,5,3,6,6,2,2,4,5,6,5,2,3,2,5,5,2,3,2,1,1,2,2, ,2,-9,4,20,80,40,1,90,1,-9,3,1,3,1,2,9,2,9,6,4,36,18,3,2,3,2,3,2,3,4,2,4,1,4,3,2,2,3,3,3,4,2,4,1,3,3,3,4,4,2,3,2,2,4,2,4,2,3,3,2,2,4,3,4,2,2,3,3,2,4,3,4,2,4,4,4,4,4,5,5,5,3,3,4,3,4,3,6,6,6,6,5,5,3,3,3, , , , , , ,1,4,4,3,2,2
12868,2,4,2,4,4,3, , ,-7,1,2,4,2, ,2,1,1,2,1,2,7,7,5,7,1,5,5,2,5,6,1,6,6,6,6,5,4,4,4,4,4,5,6,6,1,6,4,2,1,5,5,4,4,5,5,6,5,1,2,2,3,5,2,4,2,1,1,4,2, ,-9,-9,1,10,90,50,1,95,1,3,3,2,2,1,2,10,2,9,6,4,32,16,1,1,4,2,3,2,4,4,3,4,1,4,3,2,3,3,2,4,4,3,4,1,4,4,4,4,3,3,3,2,2,3,2,4,2,2,3,2,2,4,4,4,2,2,2,4,2,4,3,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3, , , , , , , , , , , , , , , ,1,3,3,2,2,2
12868,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,5,6,1,6,4,3,1,5,5,3,3,5,5,6,5,2,3,2,3,4,3,3,2,2,1,4,2, ,-9,-9,4,15,20,1,1,30,2, , ,2, , ,2,4,2,9,6,4,38,32,1,1,3,3,3,2,4,4,3,4,2,4,4,2,2,3,2,4,4,3,4,1,3,4,2,4,4,3,4,4,3,4,2,4,2,2,4,2,2,4,3,4,2,2,3,4,2,4,3,4,2,4,5,4,4,5,5,5,5,3,3,4,3,4,3,6,5,6,6,5,2,3,4,4, , , , , , ,1,4,4,2,2,2
12872,1,4,2,4,4,1,2, ,1,1,2,3,2, ,3,1,1,4,2,2,2,5,6,6,4,5,7,2,6,5,1,4,6,7,6,5,5,3,5,5,4,5,4,2,1,3,2,5,3,5,4,4,5,3,4,5,3,2,3,3,3,5,2,1,4,1,1,4,1,1,2,-9,4,50,33,2,1,75,1,1,3,1,3,1,2,6,4,9,5,4,36,20,3,8,4,2,2,1,5,5,1,4,2,4,2,2,1,3,4,5,4,2,4,2,3,4,2,4,4,2,3,2,2,4,3,4,1,2,3,2,2,4,3,4,2,2,3,4,2,4,2,4,2,3,5,5,5,5,6,6,6,3,6,3,2,3,3,6,6,7,6,5,2,3,6,6, , , , , , ,4,5,2,3,4,4
12872,2,4,-9,4,4,3, , ,-7,2,2,4,2, ,3,2,1,4,1,5,4,5,5,3,3,3,4,4,6,5,1,3,7,5,4,5,3,3,4,5,4,5,5,4,1,6,3,4,1,3,3,6,2,5,4,5,3,4,4,3,4,3,3,2,1,2,1,4,2, ,-9,-9,3,30,50,25,10,90,1,1,3,2,3,2,2,6,4,8,5,4,35,16,1,1,3,4,4,2,4,4,5,2,2,3,1,1,4,2,3,4,3,4,4,2,3,3,2,4,4,3,3,2,3,2,2,4,2,3,3,2,3,2,2,3,2,1,3,3,4,3,3,2,2,2,3,3,4,3,6,6,5,2,3,4,3,4,3,7,7,5,7,3,1,4,7,2, , , , , , ,4,5,1,4,1,1
12874,1,4,2,3,4,2, , ,1,2,1,2,2, ,3,2,1,2,2,4,5,6,6,4,3,3,3,2,6,5,3,5,7,5,5,4,3,3,4,3,4,6,3,2,3,3,6,6,4,4,4,4,3,5,4,4,5,3,3,4,5,4,3,3,2,2,1,3,1,1,2,-9,4,35,20,0,0,75,1,1,3,1,4,1,1,6,4,8,4,1,40,20,1,8,2,3,1,1,3,5,3,4,1,3,4,1,1,4,1,5,5,1,5,1,4,5,1,4,5,2,5,1,2,5,1,5,1,1,5,1,1,5,2,5,1,2,5,5,1,3,1,5,1,5,3,5,5,5,6,6,6,4,6,2,3,5,2,7,6,7,7,7,5,2,4,6, , , , , , ,4,3,1,1,4,4
12874,2,4,2,4,4,2, , ,1,1,1,3,2, ,3,2,1,2,2,2,6,5,6,4,4,2,4,2,6,5,4,4,7,5,5,5,3,3,4,3,4,6,6,3,1,6,3,3,1,4,4,5,5,5,3,4,4,2,4,3,4,3,3,3,2,2,1,4,1,1,-9,-9,3,20,45,0,0,80,1,1,3,2,2,1,1,6,4,8,4,4,40,20,1,7,4,1,2,1,5,5,1,3,1,4,3,1,3,3,3,4,3,2,4,1,4,3,4,4,4,3,3,2,2,3,3,4,2,3,3,2,3,3,4,4,3,2,3,4,3,4,3,3,2,3,4,4,5,4,5,5,5,3,6,4,3,5,2,5,6,6,6,4,6,5,5,2, , , , , , ,4,3,1,4,3,2
12875,1,1,1,3,2,1,1,1,-7,4,2,3,2, ,-9,1,1,1,1,2,5,4,6,4,4,2,5,4,6,6,7,5,6,6,6,5,4,5,3,6,3,2,3,6,3,4,4,4,-7,6,6,3,2,4,3,3,4,4,5,4,3,4,5,1,4,2,1,4,1,1,-9,-9,3,60,40,20,15,65,1,1,4, , , ,1,8,3,5,3,4,36,20,2,1,2,4,3,2,4,3,2,2,3,3,2,4,2,3,2,3,3,2,3,3,2,3,2,2,3,2,3,2,3,4,2,4,3,2,3,2,3,4,2,4,2,2,3,2,3,4,4,4,2,4,2,2,3,2,3,4,2,3,3,3,3,2,1, , , , , , , , , , , , , , , , , , , , , 
12876,1,2,1,2,2,1,2, ,-7,2,2,2,2, ,3,3,1,2,2,5,6,4,5,7,1,1,6,7,6,5,4,6,6,3,5,5,4,4,4,4,4,4,1,1,1,1,1,1,1,4,3,5,4,3,1,4,4,4,4,4,4,4,3,2,4,2,1,3,2, ,-9,-9,3,80,0,0,0,100,1,2,3,2,4,1,2,9,2,6,4,4,36,10,2,6,5,1,2,1,3,4,1,4,1,3,1,1,1,3,2,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,4,3,3,1,2,1,3,2,4,3,3,2,2,1,1,1,1,4,4,5,3,7,4,3,3,2, , , , , , , , , , , , , , , , , , , , , 
