nohhold,nomem,psy1,psy2,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,stig01,stig02,stig03,stig04,stig05,stig06,stig07,stig08,stig09,stig10,stig11,stig12,stig13,stig14,stig15,stig16,stig17,stig18,stig19,stig20,stig21,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,control,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,con11,con12,con13,con14,con15,con16,con17,con18,con19,con20,con21,con22,con23,con24,con25,con26,con27,con28,con29,con30,con31,con32,con33,con34,con35,con36,con37,con38,con39,con40,con41,con42,con43,con44,con45,con46,con47,con48,con49,con50,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6
12454,1,1,0,5,3,4,3,2, , ,2,2,2,3,2, ,2,2,2, ,3,5,5,4,5,4,4,3,5,5,5,4,3,4,6,4,4,4,4,3,5,4,2,6,6,4,6,3,5,6,5,7,5,4,5,5,5,4,4,4,4,3,4,3,5,2,2,5,3,4,6,4,4,2,4,3,5,4,5,5,4,3,3,3,3,2,5,1,1,1,1,4,1,3,2,4,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12458,1,1,0,5,1,3,2,3, , ,1,1,2,3,2, ,2,2,1,2,2,2,2,5,5,7,1,5,6,1,4,4,1,4,4,4,5,7,1,7,6,6,6,5,5,1,7,7,7,7,1,7,7,1,1,7,7,7,4,4,4,4,4,1,7,4,4,7,7,1,1,-7,1,1,1,1,7,7,4,4,4,4,4,4,6, ,1,1,3,1,1,4,1,2,2,3,-9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12463,1,1,1,4,2,3,1,1,2, ,-7,1,2,4,2, ,4,2,2, ,1,1,6,5,5,7,3,2,5,1,7,6,1,3,7,6,3,5,1,1,7,5,4,4,7,1,6,6,7,7,1,7,7,5,2,7,1,3,5,3,4,5,5,3,4,7,7,1,7,2,1,-7,5,4,2,2,2,5,5,5,2,2,2,2,5, ,3,2,3,2,1,4,1,1,2,2,-9,80,99,50,2,100,1,1,3,1,3,1,2,5,3,7,6,4,40,20,2,1,4,1,3,2,5,4,2,4,1,5,3,2,3,4,3,3,4,1,4,1,3,4,4,4,4,2,3,2,4,4,2,4,2,2,3,2,2,4,5,4,2,3,3,4,2,4,3,3,1,5,5,3,4,1,5,3,2,3,1,4,2,4,2,7,6,6,6,6,2,2,6,4,4,3,2,4,3,2
12466,1,1,1,5,2,5,5,3, , ,2,1,2,3,1,5,3,1,1,4,1,1,1,5,6,1,5,1,6,3,6,5,1,1,5,6,4,6,3,2,5,2,1,5,5,1,4,5,3,6,1,4,6,2,1,4,4,5,4,4,3,4,2,2,6,5,6,1,6,2,1,2,2,2,3,2,4,2,4,4,4,4,4,4,5,7,2,3,3,1,1,4,1,2,2,4,-9,10,100,100,80,100,2, , ,1,3,1,1,11,2,-9,5,2,0,0,4,9,4,2,1,4,4,4,2,3,2,4,3,3,2,4,2,3,3,2,3,2,2,4,3,4,4,2,3,3,2,3,2,3,2,4,4,3,2,3,3,3,2,2,3,4,3,3,2,4,2,3,2,4,4,3,5,2,2,4,6,3,2,2,2, , , , , , , , , ,3,2,4,4,3,3
12467,1,1,1,2,1,2,3,2, , ,-7,2,2,3,2, ,4,2,2, ,3,2,5,4,5,5,2,2,4,2,5,5,2,4,5,5,4,4,4,4,4,4,4,4,6,3,6,4,6,6,1,6,6,4,3,5,3,4,2,1,6,2,4,2,1, , , , , , , ,4,4,6,5,5,4,7,7,6,4,4,4,4,4,4,1,4,1,1,3,1,3,2,2,5,70,0,0,0,0,1,1,3,2, , ,2,8,2,-9,3,4,60,25,3,1,5,1,4,1,4,4,1,3,1,5,2,1,3,3,3,1,2,3,3,1,2,4,2,4,3,3,4,4,3,4,4,2,3,4,2,5,1,5,1,3,3,3,3,5,3,3,3,3,3,4,4,4,4,2,3,3,3,2,3,6,3,3,3, , , , , , , , , ,4,2,1,3,4,3
12467,3,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,2,5,2,5,4,5,3,5,5,5,6,3,6,7,3,4,6,5,2,4,3,5,3,3,3,3,5,3,3,5,3,3,1,5,2,2,5,5,5,5,5,3,3,3,4,4,5,6,1,4,1,1,3,2, ,-9,3,5,85,50,30,20,90,2, , ,2, , ,2,2,4,4,4,4,30,20,3,9,4,2,4,2,4,4,2,3,2,4,3,2,4,3,3,4,3,3,4,2,4,2,4,4,2,4,3,2,3,4,3,4,4,2,3,2,4,3,4,4,4,3,2,4,3,4,3,3,3,3,5,6,6,5,3,5,5,5,3,4,5,3,3, , , , , , , , , ,1,4,4,2,3,3
12471,1,1,1,4,2,2,2,1,2, ,-7,1,2,3,2, ,3,2,2, ,2,1,1,2,6,7,4,5,6,1,7,5,1,1,7,6,7,7,3,1,7,5,5,7,7,1,7,3,7,7,1,7,7,2,1,7,2,4,4,3,5,3,2,2,1,5,4,1,7,4,2,-7,5,3,4,2,5,6,7,5,4,3,2,3,5,7,5,2,4,2,1,4,2, ,2,5,5,40,100,0,0,100,2, , ,1,4,3,2,5,2,7,6,4,40,40,2,1,3,1,4,2,3,3,1,3,1,5,3,3,2,4,3,4,4,2,4,1,2,2,4,3,3,1,4,3,2,3,3,4,3,3,2,2,2,4,3,3,3,4,4,4,2,2,4,4,2,2,2,2,5,5,6,7,4,3,4,6,3,5,3,7,7,7,5,6,4,4,3,7,1,2,5,1,4,4
12471,2,1,1,2,1,1,1,2, , ,-7,2,2,3,2, ,4,2,2, ,3,2,1,1,5,6,4,5,6,1,7,1,1,1,7,6,3,7,2,1,7,6,5,1,7,1,7,1,7,7,2,7,7,3,2,7,1,4,5,3,6,2,1,3,5, , , , , , , ,5,1,4,5,6,7,7,5,4,2,3,3,4, ,6,1,3,3,1,2,2, ,2,4,2,60,50,0,0,100,2, , ,1,2,2,1,4,3,6,3,4,40,40,1,1,2,4,2,1,2,5,3,3,2,3,3,3,2,1,2,3,4,2,4,1,2,3,4,4,3,5,2,3,3,4,3,5,4,3,2,3,2,5,5,3,2,1,2,3,2,4,5,2,2,3,3,5,7,7,6,7,5,4,3,7,6,7,7,4,5,3,4,1,1,7,6,1,4,4,1,4,4,4
12473,1,1,1,5,2,3,2,2, , ,1,1,2,3,2, ,3,2,1,2,2,1,4,7,4,5,1,5,3,1,7,7,6,7,2,4,4,1,1,1,6,4,3,3,6,2,7,5,7,7,4,7,2,5,3,7,5,5,3,3,7,1,4,1,1,3,6,1,2,2,3,2,5,5,3,4,2,4,7,4,2,3,4,3,5,5,4,1,4,1,1,4,1,1,-9,3,-9,50,80,0,0,100,1,1,3, , , ,1,10,2,9,7,4,45,30,2,8,3,4,2,1,3,5,2,3,2,3,1,1,2,4,3,4,3,3,3,1,3,4,4,4,4,3,3,1,2,4,3,4,2,2,2,1,1,4,4,4,1,3,2,4,2,3,5,3,5,3,5,4,4,1,7,5,6,3,3,2,2,1,1,7,7,7,6,7,1,2,5,5,4,4,1,1,4,3
12476,1,1,1,5,2,4,4,2, , ,2,1,2,3,2, ,3,2,1,2,2,1,1,5,5,5,3,1,6,1,6,5,1,1,6,6,6,6,5,3,6,4,1,4,5,3,6,5,6,4,3,6,3,5,3,3,3,5,5,4,3,4,4,5,5,5,5,3,5,3,3,-7,5,5,3,4,3,3,5,5,3,3,4,3,6, ,2,2,3,2,1,4,1,2,-9,2,-9,40,50,10,5,60,2, , , , , ,2,7,3,7,6,4,38,30,2,4,3,2,2,3,1,3,3,2,2,2,3,1,3,4,3,4,4,1,4,1,4,5,4,5,3,1,4,2,4,3,2,5,3,1,3,2,3,3,4,5,4,3,3,4,2,5,3,5,4,5,5,1,7,1,5,5,5,2,3,3,2,2,5,7,7,7,7,7,7,4,7,6,1,2,4,2,3,3
12490,2,1,1,6,2,5,4,1,1,2,-7,1,2,2,1,3,-9,2,1,2,2,1,1,1,1,7,1,1,6,1,7,1,1,1,7,7,1,7,7,1,1,1,1,7,7,1,7,2,7,7,1,7,7,4,1,7,7,1,7,7,1,7,7,7,7,4,1,1,6,1,1,3,2,1,7,5,1,1,1,1,4,1,4,6,5,2,1,2,4,1,1,4,1,2,2,2,-9,40,80,50,10,100,2, , ,1,3,-9,1,4,2,9,6,4,40,32,3,9,3,5,5,1,5,5,1,5,1,5,4,1,1,4,1,5,5,4,5,4,4,5,2,4,5,4,5,3,5,3,1,5,2,1,5,2,1,5,2,2,1,4,5,4,1,3,2,5,1,4,5,5,1,7,7,7,7,2,7,7,3,4,1,7,7,7,7,7,2,4,7,7,1,5,2,1,1,1
12499,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,35,20,10,5,40,1,1,4,2,3,1,2,6,6,8,6,4,40,20,3,6,4,2,3,2,3,5,2,4,2,3,2,1,1,3,4,4,4,2,4,1,3,2,4,5,4,2,2,2,3,3,2,5,2,3,2,2,1,4,5,4,2,4,1,3,2,4,4,2,1,3,6,5,4,4,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,2,4,4
12499,2,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,40,20,5,0,50,1,1,5,2,3,1,2,6,4,8,6,4,40,16,2,1,4,1,4,1,5,4,2,4,2,4,1,1,3,4,2,5,4,4,5,1,5,4,3,5,3,2,4,2,3,4,1,5,4,2,4,2,3,4,3,5,4,4,2,5,2,4,3,4,2,3,6,5,6,2,4,5,6,1,2,4,5,5,3, , , , , , , , , ,2,2,2,2,2,2
12506,1,1,1,5,2,3,4,3, , ,-7,3,2,4,2, ,3,2,1,1,1,2,3,3,5,6,1,2,5,2,7,3,1,3,7,6,5,5,1,1,2,6,4,2,6,1,7,5,7,6,1,7,7,3,1,4,2,1,4,2,5,4,5,2,4,7,6,1,7,1,1,-7,2,2,3,3,5,3,6,4,2,4,3,3,6, ,2,2,3,2,1,4,2, ,2,2,4,40,80,40,0,80,1,1,3,2,1,1,2,7,4,-9,4,4,40,20,1,1,2,1,5,2,4,4,2,4,1,4,2,1,3,4,2,5,3,3,4,1,4,4,4,5,3,4,4,1,3,4,2,4,3,2,4,1,3,3,4,4,3,2,2,4,3,2,4,4,3,3,5,2,4,2,5,4,3,3,4,6,1,2,3, , , , , , , , , ,2,5,3,1,3,3
12506,2,1,1,5,2,3,4,3, , ,2,1,2,4,2, ,4,1,1,1,1,2,2,3,4,5,1,3,6,2,7,2,1,2,6,5,4,5,2,1,2,3,2,4,7,1,6,5,6,7,1,7,7,2,1,5,2,2,3,2,5,3,6,2,4,6,6,1,5,3,2,3,5,5,2,7,5,6,6,6,3,3,3,3,5,3,2,2,3,1,1,4,2, ,2,2,-9,60,80,40,0,70,1,1,3,2,5,1,2,7,4,7,7,4,40,20,2,6,1,2,4,1,4,4,2,4,2,3,1,3,1,5,4,3,4,1,4,2,2,4,3,3,4,1,2,4,2,4,3,4,2,2,1,4,2,4,3,4,1,5,4,3,2,4,4,2,1,4,5,5,4,2,6,6,6,3,5,5,2,2,2,7,7,6,6,6,5,3,7,5,1,5,3,1,3,2
12512,1,1,1,5,2,2,3,2, , ,2,1,2,3,2, ,3,2,1,2,1,2,5,5,5,3,2,2,5,2,5,4,1,3,5,5,4,3,2,1,5,5,4,1,4,2,5,4,5,4,2,4,3,5,2,3,2,4,4,5,2,4,4,3,3,5,3,1,4,1,2,3,2,2,5,4,4,4,3,3,5,4,5,4,3,4,5,1,2,1,1,4,2, ,2,2,5,15,100,45,0,100,1,1,3,2,4,3,3,8,4,8,3,4,36,16,2,6,4,1,3,2,4,4,1,4,1,5,2,4,2,4,4,4,4,2,3,1,2,3,4,2,4,3,2,3,2,3,4,4,2,2,2,4,2,4,4,4,4,2,2,4,1,3,4,4,4,2,3,2,2,1,6,5,5,3,3,5,5,6,5,6,6,6,6,5,3,3,5,5,1,5,4,2,4,3
12512,2,1,1,4,2,3,3,2, , ,2,2,2,3,1,3,2,1,1,2,2,2,3,4,5,4,2,2,4,2,5,4,1,2,5,5,4,5,2,1,3,3,3,4,6,2,5,3,6,5,1,6,6,4,2,6,4,4,4,4,4,4,4,4,6,6,6,2,6,2,1,-7,2,2,4,2,5,3,6,2,4,5,5,5,6,4,2,1,4,2,1,3,2, ,2,2,4,50,50,10,0,100,1,-9,3,2,3,2,2,7,4,-9,4,4,40,10,1,8,2,5,2,2,3,4,4,2,3,3,4,1,2,4,1,5,4,3,4,1,3,3,2,4,2,3,5,1,4,3,2,4,3,2,5,1,3,2,1,4,3,3,4,4,3,2,2,4,3,2,5,5,5,4,3,5,5,2,2,2,2,2,2, , , , , , , , , ,2,4,2,2,3,3
12512,3,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,3,4,4,3,4,5,3,4,4,5,6,3,5,6,3,4,5,4,3,5,5,4,4,4,4,3,5,4,3,5,5,3,-7,4,3,5,3,4,4,6,4,5,3,4,4,4,4,3,1,4,2,1,2,1,1,2,2,4,50,50,35,15,90,2, , ,3, , ,3,2,3,-9,4,2,4,4,2,1,3,4,3,3,4,3,4,3,4,4,3,3,3,4,4,4,4,3,4,2,4,4,3,4,3,3,2,2,4,3,4,4,2,1,3,2,3,4,2,3,2,4,4,4,3,3,4,4,2,3,4,5,5,5,6,5,6,3,4,4,5,4,3, , , , , , , , , ,2,2,2,2,2,2
12514,2,1,1,5,2,3,4,3, , ,-7,2,2,4,2, ,2,1,2, ,2,5,5,7,7,7,3,3,4,5,7,7,1,4,7,7,7,7,1,1,4,1,4,4,7,1,7,4,7,4,1,7,7,1,1,7,5,4,1,1,5,3,4,1,5,7,7,1,7,7,1,-7,5,2,5,7,4,3,7,4,4,5,4,5,5,5,1,1,4,1,1,1,2, ,3,3,2,50,100,100,0,100,1,1,3,5,5,4,3,12,1,-9,5,5,0,100,3,1,5,1,3,1,3,5,1,3,1,5,1,5,3,3,1,5,2,5,3,4,4,4,2,4,2,1,4,1,4,5,1,4,5,1,1,1,3,4,4,3,4,3,4,4,3,4,5,3,4,5,5,1,1,1,1,1,1,7,7,6,1,7,5, , , , , , , , , ,4,1,1,4,1,1
12516,1,1,1,3,1,1,1,1,2, ,1,1,2,1,2, ,2,1,2, ,1,1,1,7,7,7,3,6,7,1,7,7,1,1,7,6,4,6,1,1,7,1,1,1,7,1,2,3,6,7,3,7,7,2,6,6,7,2,5,1,7,2,1,1,1,7,4,7,7,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4, ,4,1,1,1,1,4,1,3,3,3,-9,0,0,0,0,0,2, , , , , ,5,4,2,2,3,4,32,16,2,5,1,2,3,4,3,3,2,2,3,1,2,3,4,1,2,1,3,4,2,3,1,3,3,4,3,2,4,4,1,2,2,4,3,1,3,4,2,3,2,1,4,3,2,3,3,2,3,4,2,3,6,5,2,3,5,2,4,3,5,3,2,5,1,3,4,5,3,2,2,2,3,5,4,5,5,3,2,2
12519,1,1,1,5,2,4,4,3, , ,1,1,2,4,2, ,2,1,1,3,1,1,4,6,7,7,4,5,6,1,6,4,2,2,7,4,6,4,4,1,5,2,2,5,7,1,7,7,7,7,1,7,6,2,1,5,4,7,5,5,2,6,4,5,7,7,7,4,7,1,1,3,5,5,1,5,7,5,7,6,5,3,2,2,6,6,1,5,5,2,1,3,2, ,2,4,4,0,100,100,50,100,2, , ,2,3,2,2,8,2,8,5,4,38,24,2,6,4,3,3,1,5,5,3,3,1,4,3,2,2,3,4,3,4,2,3,1,3,3,5,4,2,4,4,2,3,3,3,4,2,3,2,3,2,5,5,4,2,1,2,4,3,4,5,4,2,2,7,4,7,7,7,7,7,2,7,2,6,1,1,6,4,7,6,6,4,4,7,2,1,4,3,2,3,2
12519,2,1,1,5,2,5,4,3, , ,1,1,2,5,2, ,2,1,1,3,1,2,3,6,6,6,2,5,5,4,6,6,3,5,7,4,6,6,2,2,5,3,2,1,6,1,6,6,7,4,2,6,6,2,1,3,5,4,5,2,2,5,5,3,7,7,6,2,7,5,1,3,5,5,2,4,4,5,6,4,3,2,2,2,6,2,2,4,3,1,1,4,2, ,2,-9,5,50,100,75,25,100,2, , ,2,3,1,1,7,2,7,3,4,40,38,2,3,4,2,2,1,3,4,2,3,1,3,2,2,2,3,1,4,2,4,4,1,4,4,3,3,4,4,4,2,3,2,2,5,2,2,4,2,1,4,4,3,1,2,2,4,2,3,2,4,2,3,4,4,5,3,4,5,5,6,5,5,2,2,2,6,5,5,5,5,3,3,5,2,1,4,3,3,1,1
12522,1,1,1,5,2,4,4,3, , ,-7,3,2,4,2, ,3,2,1,2,2,5,6,2,5,5,2,2,1,6,6,3,1,4,4,4,2,5,2,1,5,3,6,6,7,2,7,5,7,7,1,7,7,1,1,7,6,1,4,4,4,4,4,4,4,7,7,1,7,1,1,-7,7,1,1,1,7,5,1,7,1,1,1,1,7, ,1,1,5,1,1,3,2, ,-9,2,2,60,60,40,0,0,1,-9,2,1,3,1,2,11,2,-9,3,5,0,0,2,5,5,1,2,5,5,5,1,5,1,5,1,1,1,3,5,5,5,1,5,1,3,3,5,5,5,1,1,1,1,4,1,5,1,1,3,1,1,5,5,5,1,1,5,5,1,5,5,5,1,4,7,2,7,7,7,1,1,7,7,7,1,1,1, , , , , , , , , ,1,1,2,3,1,1
12522,2,1,1,5,2,4,4,3, , ,2,1,2,4,2, ,3,2,1,3,2,5,6,7,7,7,7,6,5,5,7,7,1,7,7,5,6,7,1,1,7,5,1,5,7,3,7,5,7,5,1,7,7,1,1,7,7,5,4,4,3,4,3,3,6,7,7,1,7,1,1,2,5,4,6,3,5,4,5,5,5,6,5,3,6,7,2,3,5,2,2, ,1,2,-9,2,5,80,90,80,5,10,1,3,2,1,3,1,1,11,2,7,5,4,10,15,3,3,5,1,5,1,5,5,1,4,1,5,3,1,1,4,4,5,4,1,5,1,2,4,1,4,5,1,4,1,1,4,2,5,1,5,5,1,1,5,2,5,1,3,4,4,1,5,4,4,1,4,6,3,3,1,6,4,5,2,7,2,1,1,1, , , , , , , , , ,1,4,2,4,4,3
12524,1,1,1,5,2,4,4,3, , ,2,1,2,4,2, ,3,1,1,2,1,1,1,7,7,7,1,5,7,1,7,7,1,1,7,7,7,7,1,1,7,1,7,7,7,1,7,7,7,1,1,7,7,1,1,7,1,4,4,5,1,4,1,5,7,1,1,1,4,7,7,3,7,7,1,1,7,1,5,7,1,1,1,1,7,7,1,3,1,1,1,3,2, ,2,2,-9,70,100,100,50,100,2, , ,1,3,1,2,9,2,7,3,4,37,37,2,2,3,1,1,1,5,5,1,5,1,5,1,1,3,5,1,5,5,1,5,1,5,5,5,5,5,5,1,1,4,1,1,5,1,1,5,1,1,5,5,5,1,1,1,5,1,5,5,1,1,1,7,7,4,4,7,7,7,1,1,7,1,1,7,7,7,7,7,7,1,1,7,4,4,2,5,1,4,2
12524,2,1,1,5,2,4,4,3, , ,2,4,2,4,2, ,3,1,1,3,1,1,1,7,7,7,1,7,7,1,7,7,1,1,7,7,7,7,1,1,7,1,7,7,7,1,7,7,7,7,1,7,7,1,1,1,1,7,5,4,1,5,7,4,6,7,1,1,4,1,4,3,6,7,2,1,1,7,7,7,1,1,1,7,7,7,1,3,1,1,1,4,2, ,-9,2,-9,25,55,30,0,25,2, , ,1,3,2,1,8,2,9,6,4,36,32,2,3,4,1,3,1,3,5,4,4,1,5,1,3,4,5,3,3,2,3,4,1,3,3,4,4,4,3,4,3,2,3,2,5,2,4,5,3,1,3,3,3,1,3,3,3,1,5,5,4,1,3,5,4,4,4,7,6,6,2,6,4,2,1,4,7,7,7,6,6,1,6,7,6,4,3,1,3,2,1
12530,1,1,1,5,2,4,4,3, , ,-7,1,2,4,2, ,3,1,1,2,1,2,3,6,6,4,1,4,6,1,7,4,1,1,7,6,6,6,2,1,7,4,1,6,6,2,7,6,6,6,1,7,7,1,1,7,7,4,4,1,1,1,4,3,1,7,7,1,7,1,1,1,4,2,3,6,4,4,4,3,5,3,4,4,6, ,1,1,4,3,1,4,1,1,2,2,-9,70,5,0,0,70,1,1,5,1,4,1,1,7,4,-9,3,4,36,20,2,5,2,3,4,2,2,5,4,3,2,4,3,1,2,2,2,3,3,3,4,1,3,3,3,4,3,4,4,2,2,3,2,4,2,3,3,2,3,3,3,3,2,2,3,3,2,3,2,3,2,3,4,2,3,3,4,6,4,4,5,4,3,4,1,7,5,7,5,6,1,1,7,7,2,5,1,4,4,1
12531,1,1,1,3,2,2,2,1,2, ,-7,1,2,2,2, ,2,1,2, ,3,7,5,7,7,7,1,7,7,1,7,7,2,6,7,7,7,7,5,1,7,6,6,7,7,5,7,7,7,7,7,7,7,2,6,7,5,4,6,4,7,5,7,7,4,7,7,2,7,7,2,-7,5,7,4,4,7,4,6,6,7,5,6,5,6, ,2,2,5,1,1,1,1,1,3,1,2,40,40,0,0,80,1,-9,2, , , ,2,13,1,5,3,4,13,6,2,2,4,1,1,1,2,1,3,4,1,1,1,5,1,2,1,5,5,3,5,1,5,4,5,5,4,4,5,1,3,3,3,5,5,3,4,1,1,5,5,5,1,1,1,5,4,4,4,5,2,3,7,4,6,2,5,7,7,1,1,3,6,7,7, , , , , , , , , ,3,1,5,4,1,2
12537,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30,100,100,5,100,1,1,2,1,5,1,2,12,2,9,6,5,5,25,1,3,4,1,3,1,2,4,1,3,1,5,1,4,2,3,2,4,5,3,3,1,3,2,2,4,1,2,2,3,2,2,2,3,1,2,2,3,1,3,5,3,1,1,1,2,2,4,5,3,1,2,6,4,6,4,6,3,4,2,7,7,3,4,6, , , , , , , , , ,4,1,1,3,3,1
12548,2,1,1,5,2,3,3,1,2, ,2,1,2,3,2, ,3,2,1,1,1,1,1,4,6,4,1,1,6,1,6,4,1,1,6,4,4,4,2,2,5,3,1,2,5,3,6,4,5,4,4,4,3,7,5,3,2,6,4,3,3,5,5,5,4,6,7,1,7,1,1,-7,4,2,5,2,5,4,5,4,3,4,3,4,4, ,6,2,4,1,1,4,2, ,-9,2,-9,50,80,40,0,50,2, , ,1,3,4,2,8,4,8,4,4,36,20,1,4,3,2,4,2,4,5,2,3,2,4,1,2,3,4,3,4,3,4,4,1,2,4,4,4,2,3,3,2,3,2,3,4,4,2,3,4,4,4,4,3,5,3,2,3,4,3,3,3,3,1,4,5,3,3,5,6,5,5,3,5,3,4,6,6,5,6,6,5,6,3,5,3,1,2,4,2,4,3
12550,1,1,1,3,2,3,3,2, , ,2,4,2,4,2, ,3,1,1,1,1,4,2,5,6,6,1,2,5,5,6,5,1,5,6,6,5,7,3,4,6,7,4,6,7,1,6,5,7,7,1,7,6,1,2,4,6,4,3,4,4,4,5,2,4,6,6,1,5,2,2,-7,5,3,2,7,5,5,5,4,6,4,5,6,6, ,4,4,3,2,1,2,1,1,3,2,4,40,30,10,0,70,1,-9,3,2,3,1,2,10,3,5,2,5,25,10,1,6,3,4,2,4,4,4,3,3,5,4,2,4,2,3,3,4,4,4,4,2,3,3,4,4,4,4,3,2,3,3,3,4,2,2,3,2,2,3,4,4,2,4,3,3,2,4,3,4,2,3,5,4,6,2,5,6,4,3,6,4,5,4,4, , , , , , , , , ,4,3,1,2,2,2
12550,2,1,1,3,1,3,2,1,2, ,-7,2,2,3,2, ,3,1,2, ,2,3,4,5,4,5,2,4,5,2,6,5,1,4,5,4,5,6,3,1,7,4,3,6,5,2,6,4,6,7,1,6,6,2,1,3,6,3,3,2,3,3,4,3,3,6,6,1,6,1,1,-7,5,2,4,4,5,4,5,4,4,6,5,5,6, ,3,1,3,1,1,3,2, ,2,2,5,50,75,35,0,100,1,1,3,1,3,1,2,10,2,4,2,4,36,0,1,4,4,2,2,2,3,4,1,3,1,4,1,2,2,3,4,4,3,2,3,1,3,3,4,5,3,3,3,2,2,3,3,4,3,1,3,1,1,4,5,4,2,1,5,4,3,4,4,3,2,3,5,2,4,4,5,6,6,3,6,3,2,2,2, , , , , , , , , ,4,1,4,3,2,2
12552,1,1,1,5,2,3,3,3, , ,2,2,2,3,2, ,-9,2,1,2,2,4,5,6,5,7,5,4,4,4,5,6,1,4,5,5,6,6,5,2,4,4,3,4,5,2,6,4,5,5,2,5,7,2,2,4,4,2,3,3,4,3,4,3,2,5,5,2,5,3,2,-7,2,2,2,2,2,3,4,3,3,4,3,3,4, ,6,3,5,1,1,4,1,1,-9,2,5,20,50,10,0,80,1,-9,3,2,3,1,2,8,4,-9,4,4,40,20,2,6,4,2,3,2,4,4,2,3,2,4,3,2,3,3,2,4,3,4,4,2,3,4,3,4,2,4,3,2,3,3,2,3,3,3,3,2,3,3,4,4,3,3,2,3,3,4,3,4,3,3,4,3,4,4,4,5,4,4,3,4,3,4,5,2,2,2,5,1,6,6,2,1,4,5,1,2,2,2
12552,2,1,1,5,2,3,4,3, , ,2,1,2,4,1,4,4,2,1,2,1,2,5,6,4,5,2,6,6,2,6,5,2,5,7,5,7,5,4,4,6,5,5,6,6,2,7,6,6,7,1,5,6,5,1,4,7,7,6,4,5,2,6,4,1,7,6,3,6,7,4,1,6,4,6,4,6,4,6,5,3,3,6,4,6,5,5,3,3,1,1,4,1,1,2,2,5,60,5,90,0,90,1,-9,3,2,3,1,2,7,4,5,3,4,38,24,2,1,4,3,2,2,4,5,2,4,1,4,2,2,2,4,4,4,4,3,4,1,2,2,4,4,4,2,3,2,2,4,1,4,2,3,3,2,2,4,4,4,2,2,3,4,2,4,3,4,2,4,5,6,5,4,6,6,6,4,3,4,5,5,6,6,6,6,6,6,3,5,6,7,4,3,3,3,3,3
12552,3,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,4,1,7,5,5,5,7,2,7,5,5,6,2,6,6,2,2,6,6,3,5,4,5,2,4,4,2,6,6,4,5,4,2,-7,5,2,3,5,5,4,5,5,5,3,5,5,6, ,2,1,3,1,1,3,1,1,2,2,5,50,50,10,5,75,2, , ,2, , ,2,3,4,-9,5,4,50,0,2,1,4,2,2,4,3,4,2,2,2,4,2,2,3,3,4,3,3,3,3,2,3,3,4,3,4,3,2,4,4,3,4,4,3,4,2,3,4,3,4,4,2,2,2,2,3,4,4,3,2,3,4,6,5,2,5,5,5,3,3,4,4,5,5, , , , , , , , , ,1,5,3,2,1,1
