nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,belbezig,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
6,1,1956,1,1,6,6,1,2,0,5,5,31,2,0,1,1,1
6,2,1960,2,2,5,4,4,2,0,5,5,31,2,1,0,1,1
21,1,1942,1,1,4,4,8,2,0,4,1,28,2,1,1,1,1
21,2,1945,2,2,4,4,1,2,0,4,1,28,2,0,0,1,1
38,1,1928,1,1,5,5,8,2,0,3,4,23,2,1,1,1,1
38,2,1930,2,2,3,2,8,2,0,3,4,23,2,0,0,1,1
106,1,1963,1,1,5,5,4,4,2,5,5,30,3,1,1,1,1
106,2,1968,2,2,3,3,7,4,2,5,5,30,3,0,0,1,1
106,3,1998,2,5,2,8,6,4,2,5,5,30,3,0,0,1,1
106,4,2001,1,5,2,8,6,4,2,5,5,30,3,0,0,1,1
116,1,1950,1,1,6,6,1,2,0,3,3,22,2,0,1,1,1
116,2,1955,2,2,3,3,7,2,0,3,3,22,2,1,0,1,1
143,1,1958,2,1,7,6,1,2,1,1,1,27,4,1,1,0,1
143,2,1984,1,5,5,5,1,2,1,1,1,27,4,0,0,0,1
151,1,1950,1,1,5,5,1,2,0,5,3,21,2,0,1,1,1
151,2,1951,2,2,5,5,7,2,0,5,3,21,2,1,0,1,1
173,1,1965,1,1,5,5,1,4,2,3,4,24,3,0,1,1,1
173,2,1970,2,2,5,5,7,4,2,3,4,24,3,1,0,1,1
173,3,1996,2,5,2,8,6,4,2,3,4,24,3,0,0,1,1
173,4,1999,1,5,2,8,6,4,2,3,4,24,3,0,0,1,1
175,1,1932,1,1,3,3,8,2,0,5,4,25,2,1,1,1,1
175,2,1934,2,2,2,2,7,2,0,5,4,25,2,0,0,1,1
184,1,1931,1,1,2,2,8,2,0,5,3,20,2,1,1,1,2
184,2,1932,2,2,3,2,7,2,0,5,3,20,2,0,0,1,2
185,1,1934,1,3,4,4,8,2,0,4,4,23,2,1,1,1,2
185,2,1935,2,1,4,1,8,2,0,4,4,23,2,0,0,1,2
194,1,1922,1,1,4,4,8,2,0,4,2,27,2,1,1,1,1
194,2,1922,2,2,5,2,8,2,0,4,2,27,2,0,0,1,1
228,1,1931,1,1,7, ,8,1,0,2,4,25,1,1,1,0,2
254,1,1939,1,1,3,3,8,1,0,2,2,26,1,1,1,0,2
262,1,1933,2,2,2,2,7,2,0,2,1,28,2,0,0,1,1
262,2,1935,1,1,4,4,8,2,0,2,1,28,2,1,1,1,1
268,1,1945,1,1,5,5,1,2,0,3,4,25,2,0,1,1,1
268,2,1947,2,2,3,3,7,2,0,3,4,25,2,1,0,1,1
274,1,1941,2,2,2,2,7,2,0,2,2,27,2,0,0,1,1
274,2,1942,1,1,6,6,8,2,0,2,2,27,2,1,1,1,1
286,1,1928,1,1,4,3,8,2,0,2,5,31,2,1,1,1,2
286,2,1908,2,2,2,2,8,2,0,2,5,31,2,0,0,1,2
296,1,1931,2,1,6,6,8,1,0,4,2,29,1,1,1,0,2
318,1,1946,1,1,2,2,1,4,2,3,2,27,3,1,1,1,2
318,2,1952,2,2,2,2,7,4,2,3,2,27,3,0,0,1,2
318,3,1975,1,5,1,1,1,4,2,3,2,27,3,0,0,1,2
318,4,1980,1,5,1,2,10,4,2,3,2,27,3,0,0,1,2
321,1,1932,2,1,2,2,8,2,1,3,3,20,4,1,1,0,2
321,2,1973,2,5,3,3,4,2,1,3,3,20,4,0,0,0,2
338,2,1947,2,1,3,3,7,1,0,1,1,28,1,1,1,0,2
339,1,1938,1,1,3,3,8,2,0,4,3,21,2,0,1,1,2
339,2,1939,2,2,6,6,8,2,0,4,3,21,2,1,0,1,2
341,2,1932,1,1,6,6,8,2,0,2,1,28,2,1,1,1,1
341,3,1938,2,2,5,5,8,2,0,2,1,28,2,0,0,1,1
349,1,1952,2,2,5,5,2,2,0,5,3,21,2,0,0,1,1
349,2,1952,1,1,7,7,3,2,0,5,3,21,2,1,1,1,1
357,1,1946,1,1,3,3,1,2,0,2,2,27,2,0,1,1,1
357,2,1951,2,2,3,3,1,2,0,2,2,27,2,1,0,1,1
365,1,1949,2,2,2,2,9,2,0,2,1,27,2,0,0,1,2
365,2,1950,1,1,3,2,9,2,0,2,1,27,2,1,1,1,2
371,1,1943,1,1,7,7,1,2,0,2,4,25,2,1,1,1,1
371,2,1949,2,2,5,5,1,2,0,2,4,25,2,0,0,1,1
375,1,1931,2,2,4,4,7,2,0,2,5,30,2,0,0,1,1
375,2,1931,1,1,4,4,8,2,0,2,5,30,2,1,1,1,1
378,1,1941,1,1,7,7,8,2,0,4,4,23,2,0,1,1,1
378,2,1942,2,2,3,3,9,2,0,4,4,23,2,1,0,1,1
384,1,1964,2,2,5,5,1,4,2,3,2,28,3,1,0,1,1
384,2,1964,1,1,5,5,1,4,2,3,2,28,3,0,1,1,1
384,3,1990,2,5,4,2,6,4,2,3,2,28,3,0,0,1,1
384,4,1994,2,5,2,8,6,4,2,3,2,28,3,0,0,1,1
390,1,1928,1,1,4,4,8,2,0,5,3,20,2,1,1,1,1
390,2,1930,2,2,3,3,8,2,0,5,3,20,2,0,0,1,1
391,1,1927,1,1,6,6,8,2,0,3,4,25,2,1,1,1,1
391,2,1930,2,2,3,3,7,2,0,3,4,25,2,0,0,1,1
403,1,1933,2,1,6,6,8,1,0,3,2,27,1,1,1,0,2
423,1,1962,1,2,5,5,1,4,2,3,5,30,3,1,0,1,1
423,2,1963,2,1,6,6,1,4,2,3,5,30,3,0,1,1,1
423,3,1994,1,5,2,8,6,4,2,3,5,30,3,0,0,1,1
423,4,1997,2,5,2,8,6,4,2,3,5,30,3,0,0,1,1
425,2,1964,2,1,4,4,7,4,3,2,4,23,4,1,1,0,2
425,3,1993,2,5,3,2,6,4,3,2,4,23,4,0,0,0,2
425,4,1996,2,5,2,8,6,4,3,2,4,23,4,0,0,0,2
425,5,1999,2,5,2,8,6,4,3,2,4,23,4,0,0,0,2
434,1,1930,1,1,6,6,8,2,0,1,1,27,2,1,1,1,2
434,2,1934,2,2,2,2,8,2,0,1,1,27,2,0,0,1,2
451,1,1957,1,1,5,5,1,1,0,1,1,27,1,1,1,0,2
461,1,1967,2,1,6,6,9,1,0,2,4,25,1,1,1,0,1
479,1,1948,1,2,6,6,1,4,2,2,1,27,3,1,0,1,1
479,2,1955,2,1,6,6,1,4,2,2,1,27,3,0,1,1,1
479,3,1986,1,5,6,4,6,4,2,2,1,27,3,0,0,1,1
479,4,1988,1,5,6,4,6,4,2,2,1,27,3,0,0,1,1
511,1,1915,2,1,6,3,8,1,0,2,2,27,1,1,1,0,1
523,1,1948,1,1,3,3,1,2,0,3,3,21,2,1,1,1,1
523,2,1951,2,2,5,2,7,2,0,3,3,21,2,0,0,1,1
547,1,1954,1,1,7,6,9,4,2,2,4,25,3,1,1,1,2
547,2,1960,2,2,6,6,1,4,2,2,4,25,3,0,0,1,2
547,3,1988,1,5,4,2,6,4,2,2,4,25,3,0,0,1,2
547,4,1989,1,5,4,2,6,4,2,2,4,25,3,0,0,1,2
562,1,1930,1,1,7,7,8,2,0,3,5,31,2,0,1,1,1
562,2,1941,2,2,6,6,8,2,0,3,5,31,2,1,0,1,1
571,1,1944,1,1,7,4,8,2,0,5,1,27,2,1,1,1,1
571,2,1951,2,2,6,6,3,2,0,5,1,27,2,0,0,1,1
601,1,1964,1,1,6,6,1,1,0,5,4,23,1,1,1,0,1
628,1,1926,2,2,5,5,7,2,0,3,3,21,2,0,0,1,1
628,2,1927,1,1,7,7,8,2,0,3,3,21,2,1,1,1,1
633,1,1952,1,1,7,7,1,5,3,4,5,30,3,1,1,1,1
633,2,1960,2,2,4,4,1,5,3,4,5,30,3,0,0,1,1
633,3,1988,2,5,4,2,6,5,3,4,5,30,3,0,0,1,1
633,4,1991,2,5,4,2,6,5,3,4,5,30,3,0,0,1,1
633,5,1992,1,5,4,2,6,5,3,4,5,30,3,0,0,1,1
636,1,1967,2,3,4,4,1,2,0,4,2,28,2,1,0,1,1
636,2,1968,1,1,6,5,1,2,0,4,2,28,2,0,1,1,1
643,1,1931,1,1,6,6,8,1,0,2,2,29,1,1,1,0,2
655,1,1944,1,1,3,3,8,2,0,1,1,28,2,0,1,1,1
655,2,1946,2,2,6,6,8,2,0,1,1,28,2,1,0,1,1
657,1,1955,2,2,6,6,1,2,0,2,2,27,2,0,0,1,1
657,2,1956,1,1,6,6,1,2,0,2,2,27,2,1,1,1,1
679,1,1936,2,2,6,6,7,2,0,5,3,20,2,0,0,1,1
679,2,1940,1,1,3,3,8,2,0,5,3,20,2,1,1,1,1
709,1,1938,1,1,6,6,8,2,0,2,5,30,2,1,1,1,1
709,2,1943,2,2,7,7,1,2,0,2,5,30,2,0,0,1,1
720,1,1941,1,1,6,6,8,2,0,5,5,31,2,0,1,1,1
720,2,1943,2,2,6,6,7,2,0,5,5,31,2,1,0,1,1
733,1,1926,2,2,3,3,8,2,0,3,4,25,2,0,0,1,1
733,2,1930,1,1,7,7,8,2,0,3,4,25,2,1,1,1,1
797,1,1929,1,1,3,3,8,2,0,1,1,28,2,1,1,1,2
797,2,1930,2,2,2,2,10,2,0,1,1,28,2,0,0,1,2
816,1,1951,1,1,6,6,1,4,2,3,4,25,3,1,1,1,1
816,2,1953,2,2,4,4,7,4,2,3,4,25,3,0,0,1,1
816,3,1991,1,5,4,2,6,4,2,3,4,25,3,0,0,1,1
816,4,1993,2,5,4,2,6,4,2,3,4,25,3,0,0,1,1
819,1,1926,1,1,3,3,8,2,0,2,5,30,2,0,0,1,1
819,2,1927,2,2,4,4,8,2,0,2,5,30,2,1,1,1,1
825,1,1949,1,1,4,2,1,2,0,1,2,27,2,1,1,1,1
825,2,1952,2,2,5,5,7,2,0,1,2,27,2,0,0,1,1
831,1,1943,2,1,7,6,1,1,0,4,2,28,1,1,1,0,1
842,1,1924,1,1,7,7,8,1,0,2,2,27,1,1,1,0,1
844,1,1958,1,1,5,3,1,5,3,5,4,25,3,0,1,1,1
844,2,1965,2,2,4,4,7,5,3,5,4,25,3,1,0,1,1
844,3,1985,2,5,4,4,6,5,3,5,4,25,3,0,0,1,1
844,4,1988,2,5,3,3,1,5,3,5,4,25,3,0,0,1,1
844,5,1990,2,5,3,3,1,5,3,5,4,25,3,0,0,1,1
848,1,1944,1,2,7,5,9,4,2,4,1,27,3,1,0,1,1
848,2,1947,2,1,7,6,9,4,2,4,1,27,3,0,1,1,1
848,3,1987,1,5,4,2,6,4,2,4,1,27,3,0,0,1,1
848,4,1990,1,5,4,2,6,4,2,4,1,27,3,0,0,1,1
851,1,1932,2,1,5,5,8,1,0,2,4,23,1,1,1,0,2
860,1,1925,1,1,6,6,8,1,0,3,4,24,1,1,1,0,1
873,1,1957,1,1,4,5,1,4,2,2,4,23,3,1,1,1,2
873,2,1960,2,2,6,6,7,4,2,2,4,23,3,0,0,1,2
873,3,1994,2,5,2,8,6,4,2,2,4,23,3,0,0,1,2
873,4,1997,1,5,2,8,6,4,2,2,4,23,3,0,0,1,2
879,1,1924,1,1,6,6,8,1,0,3,2,26,1,1,1,0,2
891,1,1956,1,1,6,6,1,1,0,2,2,27,1,1,1,0,1
902,1,1937,1,1,6,6,8,1,0,3,5,30,1,1,1,0,1
905,1,1940,1,1,4,3,8,1,0,4,5,30,1,1,1,0,2
951,1,1931,1,1,7,7,8,2,0,5,5,31,2,1,1,1,1
951,2,1935,2,2,6,6,8,2,0,5,5,31,2,0,0,1,1
957,1,1975,2,3,4,4,4,4,2,1,3,20,3,0,0,1,2
957,2,1968,1,1,9,5,3,4,2,1,3,20,3,1,1,1,2
957,3,1997,1,5,2,8,6,4,2,1,3,20,3,0,0,1,2
957,4,1999,1,5,2,8,6,4,2,1,3,20,3,0,0,1,2
979,1,1938,1,1,6,6,8,2,0,1,1,28,2,1,1,1,1
979,2,1940,2,2,3,3,8,2,0,1,1,28,2,0,0,1,1
986,1,1933,1,1,2,2,8,2,0,2,5,30,2,0,1,1,1
986,2,1937,2,2,3,3,8,2,0,2,5,30,2,1,0,1,1
988,1,1933,1,1,3,3,8,2,0,2,4,25,2,0,1,1,2
988,2,1938,2,2,3,3,7,2,0,2,4,25,2,1,0,1,2
1001,1,1925,2,2,6,6,8,2,0,3,4,23,2,0,0,1,1
1001,2,1929,1,1,6,6,8,2,0,3,4,23,2,1,1,1,1
1019,1,1939,2,1,6,6,8,1,0,2,4,23,1,1,1,0,1
1031,1,1963,1,1,3,3,1,2,0,4,4,23,2,1,1,1,1
1031,2,1963,2,2,5,5,1,2,0,4,4,23,2,0,0,1,1
1039,1,1951,1,1,7,7,1,1,0,2,4,25,1,1,1,0,1
1049,1,1928,1,1,7,7,8,2,0,1,1,28,2,1,1,1,1
1049,2,1929,2,2,6,6,8,2,0,1,1,28,2,0,0,1,1
1072,1,1949,1,1,4,4,4,2,0,5,2,29,2,1,1,1,1
1072,2,1952,2,2,5,5,1,2,0,5,2,29,2,0,0,1,1
1074,1,1933,1,1,6,6,8,2,0,4,4,25,2,1,1,1,1
1074,2,1938,2,2,3,3,7,2,0,4,4,25,2,0,0,1,1
1107,1,1933,1,1,7,6,8,1,0,5,2,28,1,1,1,0,1
1128,1,1960,1,1,7,6,1,1,0,1,1,27,1,1,1,0,2
1138,1,1939,1,1,3,3,8,2,0,4,4,25,2,1,1,1,2
1138,2,1945,2,2,3,3,9,2,0,4,4,25,2,0,0,1,2
1142,2,1923,1,1,5,5,8,1,0,2,2,27,1,1,1,0,2
1155,1,1957,2,1,6,6,1,1,0,3,2,28,1,1,1,0,1
1159,1,1946,1,1,6,6,1,6,4,2,1,28,3,1,1,1,2
1159,2,1952,2,2,3,3,7,6,4,2,1,28,3,0,0,1,2
1159,3,1975,1,5,3,3,1,6,4,2,1,28,3,0,0,1,2
1159,5,1980,1,5,3,3,1,6,4,2,1,28,3,0,0,1,2
1159,6,1981,1,5,6,4,1,6,4,2,1,28,3,0,0,1,2
1159,7,1987,2,5,3,2,6,6,4,2,1,28,3,0,0,1,2
1166,1,1952,1,1,3,2,1,2,0,5,2,29,2,0,1,1,1
1166,2,1955,2,2,5,5,1,2,0,5,2,29,2,1,0,1,1
1169,1,1936,1,1,7,7,8,2,0,4,2,27,2,1,1,1,1
1169,2,1941,2,2,4,4,8,2,0,4,2,27,2,0,0,1,1
1177,1,1946,1,1,3,3,1,3,1,5,2,29,3,1,1,1,2
1177,2,1958,2,2,2,2,1,3,1,5,2,29,3,0,0,1,2
1177,4,1985,2,5,4,4,6,3,1,5,2,29,3,0,0,1,2
1186,1,1926,1,1,3,3,8,2,0,1,1,28,2,1,1,1,2
1186,2,1927,2,2,9,2,8,2,0,1,1,28,2,0,0,1,2
1197,1,1933,1,1,7,7,8,2,0,2,5,30,2,1,1,1,1
1197,2,1935,2,2,6,6,7,2,0,2,5,30,2,0,0,1,1
1202,1,1946,1,1,3,3,1,3,1,5,4,25,3,1,1,1,1
1202,2,1956,2,2,3,3,7,3,1,5,4,25,3,0,0,1,1
1202,4,1986,2,5,3,3,6,3,1,5,4,25,3,0,0,1,1
1203,1,1930,2,2,2,2,7,2,0,3,2,29,2,0,0,1,2
1203,2,1932,1,1,6,5,8,2,0,3,2,29,2,1,1,1,2
1217,1,1943,1,1,6,6,8,2,0,4,2,28,2,0,1,1,2
1217,2,1950,2,2,5,5,7,2,0,4,2,28,2,1,0,1,2
1233,1,1922,1,1,3,3,8,2,0,5,3,21,2,1,1,1,1
1233,2,1930,2,2,2,2,8,2,0,5,3,21,2,0,0,1,1
1237,2,1949,2,1,3,3,7,1,0,5,2,28,1,1,1,0,2
1242,1,1939,2,1,5,3,7,1,0,2,2,27,1,1,1,0,1
1253,1,1965,1,1,4,4,1,4,2,5,2,29,3,1,1,1,1
1253,2,1965,2,2,6,6,1,4,2,5,2,29,3,0,0,1,1
1253,3,1995,1,5,2,8,6,4,2,5,2,29,3,0,0,1,1
1253,4,1998,1,5,2,8,6,4,2,5,2,29,3,0,0,1,1
1263,1,1949,1,1,6,3,1,1,0,2,2,27,1,1,1,0,1
1285,1,1927,1,1,5,5,11,2,0,1,1,27,2,1,1,1,2
1285,2,1930,2,2,5,5,7,2,0,1,1,27,2,0,0,1,2
1289,1,1946,2,1,3,3,1,1,0,4,2,29,1,1,1,0,1
1291,1,1958,2,1,6,6,1,2,0,4,5,30,5,1,1,0,1
1291,2,1959,2,7,6,6,1,2,0,4,5,30,5,0,0,0,1
1303,1,1961,1,1,5,5,1,6,4,4,2,28,3,1,1,1,1
1303,2,1963,2,2,4,4,7,6,4,4,2,28,3,0,0,1,1
1303,3,1986,1,5,6,4,6,6,4,4,2,28,3,0,0,1,1
1303,4,1988,1,5,4,2,6,6,4,4,2,28,3,0,0,1,1
1303,5,1992,1,5,2,2,6,6,4,4,2,28,3,0,0,1,1
1303,6,1994,2,5,2,8,6,6,4,4,2,28,3,0,0,1,1
1327,1,1943,2,2,6,6,8,2,0,4,2,26,2,0,0,1,1
1327,2,1947,1,1,6,6,8,2,0,4,2,26,2,1,1,1,1
1331,1,1915,1,1,3,3,8,1,0,2,1,28,1,1,1,0,2
1337,1,1939,2,1,6,6,8,1,0,3,2,27,1,1,1,0,1
1350,1,1935,1,1,3,3,8,2,0,3,5,30,2,0,1,1,1
1350,2,1936,2,2,4,4,8,2,0,3,5,30,2,1,0,1,1
1375,1,1949,2,1,6,6,1,1,0,5,4,23,1,1,1,0,1
1386,1,1944,1,1,6,6,8,2,0,2,5,31,2,1,1,1,1
1386,2,1947,2,2,5,5,11,2,0,2,5,31,2,0,0,1,1
1391,1,1934,1,1,3,3,8,2,0,2,2,27,2,1,1,1,2
1391,2,1937,2,2,7,7,7,2,0,2,2,27,2,0,0,1,2
1392,1,1943,1,1,6,5,1,2,0,2,5,31,2,1,1,1,1
1392,2,1946,2,2,4,4,7,2,0,2,5,31,2,0,0,1,1
1419,1,1922,2,1,4,4,8,2,0,5,5,30,5,1,0,0,2
1419,2,1957,2,6,7,7,4,2,0,5,5,30,5,0,1,0,2
1420,1,1935,1,2,3,2,8,2,0,1,1,28,2,0,0,1,1
1420,2,1937,2,1,3,2,8,2,0,1,1,28,2,1,1,1,1
1423,1,1962,1,1,7,7,1,6,4,1,1,28,3,1,1,1,1
1423,2,1969,2,2,7,7,1,6,4,1,1,28,3,0,0,1,1
1423,3,1999,1,5,2,8,13,6,4,1,1,28,3,0,0,1,1
1423,4,2001,1,5,2,8,13,6,4,1,1,28,3,0,0,1,1
1423,5,2003,1,5,8,8,13,6,4,1,1,28,3,0,0,1,1
1423,6,2005,2,5,8,8,13,6,4,1,1,28,3,0,0,1,1
1426,1,1935,1,1,4,4,8,2,0,1,1,28,2,1,1,1,1
1426,2,1937,2,2,4,4,7,2,0,1,1,28,2,0,0,1,1
1454,1,1946,1,1,3,3,9,2,1,5,4,25,4,1,1,0,2
1454,4,1978,1,5,5,2,9,2,1,5,4,25,4,0,0,0,2
1460,1,1927,2,2,9,1,7,2,0,3,4,25,2,0,0,1,1
1460,2,1935,1,1,5,5,11,2,0,3,4,25,2,1,1,1,1
1468,1,1945,1,1,3,2,8,1,0,5,3,22,1,1,1,0,1
1469,1,1937,1,1,3,3,8,1,0,5,5,30,1,1,1,0,2
1491,1,1932,2,1,6,6,8,1,0,3,5,30,1,1,1,0,1
1514,1,1942,1,1,6,6,8,2,0,3,2,28,2,1,1,1,1
1514,2,1944,2,2,6,6,7,2,0,3,2,28,2,0,0,1,1
1524,1,1968,2,1,5,5,1,1,0,3,5,30,1,1,1,0,2
1537,1,1951,1,1,6,6,7,1,0,1,1,28,1,1,1,0,1
1546,1,1921,1,1,7,7,8,1,0,1,1,28,1,1,1,0,1
1549,1,1935,1,1,4,4,8,1,0,1,1,27,1,1,1,0,2
1554,1,1943,1,1,6,6,8,2,0,3,5,31,2,1,1,1,1
1554,3,1948,2,3,3,3,7,2,0,3,5,31,2,0,0,1,1
1593,1,1958,1,1,5,5,1,2,0,3,5,31,2,0,1,1,1
1593,2,1959,2,2,3,3,1,2,0,3,5,31,2,1,0,1,1
1596,1,1926,2,1,7,7,8,1,0,1,1,27,1,1,1,0,2
1604,1,1955,1,1,3,2,1,5,3,5,2,29,3,1,1,1,1
1604,2,1956,2,2,3,2,12,5,3,5,2,29,3,0,0,1,1
1604,3,1978,1,5,5,5,1,5,3,5,2,29,3,0,0,1,1
1604,4,1981,1,5,5,5,1,5,3,5,2,29,3,0,0,1,1
1604,5,1985,2,5,3,3,6,5,3,5,2,29,3,0,0,1,1
1664,1,1939,1,1,7,7,8,2,0,4,5,30,2,1,1,1,1
1664,2,1940,2,2,6,6,8,2,0,4,5,30,2,0,0,1,1
1672,1,1931,1,1,6,4,8,1,0,2,4,23,1,1,1,0,1
1679,1,1958,1,1,5,3,1,4,2,5,5,31,3,0,1,1,1
1679,2,1964,2,2,3,3,1,4,2,5,5,31,3,1,0,1,1
1679,4,1988,2,5,3,3,1,4,2,5,5,31,3,0,0,1,1
1679,5,1990,2,5,5,3,6,4,2,5,5,31,3,0,0,1,1
1734,1,1943,2,2,3,3,8,2,0,3,4,24,2,0,0,1,2
1734,2,1944,1,1,3,3,9,2,0,3,4,24,2,1,1,1,2
1757,1,1958,1,1,4,4,1,1,0,3,4,25,1,1,1,0,1
1802,1,1948,1,1,6,6,1,5,3,3,5,30,3,1,1,1,1
1802,2,1949,2,2,5,5,7,5,3,3,5,30,3,0,0,1,1
1802,3,1977,1,5,7,7,12,5,3,3,5,30,3,0,0,1,1
1802,4,1979,1,5,7,6,6,5,3,3,5,30,3,0,0,1,1
1802,5,1984,2,5,7,6,6,5,3,3,5,30,3,0,0,1,1
1821,1,1935,1,1,3,3,8,2,0,1,1,27,2,0,1,1,2
1821,2,1938,2,2,3,3,7,2,0,1,1,27,2,1,0,1,2
1829,1,1931,1,1,2,2,8,2,0,1,1,27,2,0,0,1,2
1829,2,1935,2,2,4,2,8,2,0,1,1,27,2,1,1,1,2
1840,1,1958,1,1,6,5,1,1,0,2,5,30,1,1,1,0,1
1893,1,1933,2,2,3,3,7,2,0,1,1,28,2,0,0,1,2
1893,2,1933,1,1,3,3,8,2,0,1,1,28,2,1,1,1,2
1922,1,1949,1,1,3,3,1,2,0,1,1,28,2,0,1,1,2
1922,2,1952,2,2,3,2,7,2,0,1,1,28,2,1,0,1,2
1934,1,1939,1,1,4,4,1,2,0,3,2,28,2,1,1,1,1
1934,2,1959,2,2,5,5,1,2,0,3,2,28,2,0,0,1,1
1952,1,1953,1,1,3,2,1,4,2,1,2,28,3,1,1,1,2
1952,2,1956,2,2,3,2,7,4,2,1,2,28,3,0,0,1,2
1952,3,1988,1,5,3,3,12,4,2,1,2,28,3,0,0,1,2
1952,4,1990,1,5,3,2,13,4,2,1,2,28,3,0,0,1,2
1968,1,1958,1,1,3,3,1,1,0,1,1,28,1,1,1,0,2
1973,1,1953,1,2,5,5,4,2,0,1,1,28,2,0,0,1,1
1973,2,1950,2,1,6,6,1,2,0,1,1,28,2,1,1,1,1
1975,1,1929,1,1,7,4,7,1,0,2,2,29,1,1,1,0,2
1985,1,1959,1,1,3,3,1,3,1,3,5,30,3,1,1,1,1
1985,2,1969,2,2,4,4,3,3,1,3,5,30,3,0,0,1,1
1985,3,1996,1,5,2,8,6,3,1,3,5,30,3,0,0,1,1
1997,1,1934,1,1,5,5,8,2,0,4,4,25,2,0,1,1,1
1997,2,1935,2,2,3,3,7,2,0,4,4,25,2,1,0,1,1
2004,1,1962,2,1,5,5,1,4,2,5,4,25,3,0,0,1,1
2004,2,1962,1,2,6,6,1,4,2,5,4,25,3,1,1,1,1
2004,3,1991,2,5,2,2,6,4,2,5,4,25,3,0,0,1,1
2004,4,1995,2,5,2,8,6,4,2,5,4,25,3,0,0,1,1
2014,1,1958,1,1,2,2,1,4,2,2,1,27,3,1,1,1,1
2014,2,1964,2,2,6,6,7,4,2,2,1,27,3,0,0,1,1
2014,3,1997,2,5,2,8,6,4,2,2,1,27,3,0,0,1,1
2014,4,2001,2,5,2,8,6,4,2,2,1,27,3,0,0,1,1
2049,1,1944,1,1,3,3,9,1,0,2,2,28,1,1,1,0,2
2060,1,1929,2,2,3,3,8,2,0,1,1,28,2,0,0,1,1
2060,2,1931,1,1,7,6,8,2,0,1,1,28,2,1,1,1,1
2108,2,1956,2,1,3,3,9,1,0,3,2,27,1,1,1,0,2
2110,1,1930,1,1,3,3,8,2,0,1,1,27,2,1,1,1,2
2110,2,1931,2,2,4,4,8,2,0,1,1,27,2,0,0,1,2
2117,1,1948,1,1,7,7,1,2,0,4,5,30,2,1,1,1,1
2117,2,1948,2,2,7,6,1,2,0,4,5,30,2,0,0,1,1
2119,1,1928,1,1,6,6,8,2,0,1,1,28,2,1,1,1,1
2119,2,1939,2,2,3,2,7,2,0,1,1,28,2,0,0,1,1
2139,1,1928,1,1,6,6,8,1,0,3,4,25,1,1,1,0,1
2140,1,1927,1,1,3,3,8,2,0,2,2,27,2,1,1,1,2
2140,2,1930,2,2,2,2,7,2,0,2,2,27,2,0,0,1,2
2144,1,1963,1,1,5,5,1,1,0,4,4,24,1,1,1,0,2
2165,1,1941,1,1,5,5,8,2,0,3,5,30,2,1,1,1,1
2165,2,1942,2,2,3,3,7,2,0,3,5,30,2,0,0,1,1
2182,1,1948,1,1,5,5,1,2,0,5,2,28,2,0,1,1,1
2182,2,1949,2,2,3,3,7,2,0,5,2,28,2,1,0,1,1
2184,1,1956,1,1,7,6,1,5,3,5,4,25,3,1,1,1,1
2184,2,1961,2,2,6,6,1,5,3,5,4,25,3,0,0,1,1
2184,3,1995,1,5,2,8,13,5,3,5,4,25,3,0,0,1,1
2184,4,1998,1,5,2,8,13,5,3,5,4,25,3,0,0,1,1
2184,6,2001,1,5,8,8,13,5,3,5,4,25,3,0,0,1,1
2189,1,1939,2,1,6,6,8,1,0,2,2,27,1,1,1,0,1
2197,1,1938,1,1,3,3,8,2,0,5,5,30,2,0,0,1,2
2197,2,1942,2,2,6,6,8,2,0,5,5,30,2,1,1,1,2
2200,1,1960,1,1,3,3,4,4,2,5,3,22,3,1,1,1,1
2200,2,1957,2,2,5,5,1,4,2,5,3,22,3,0,0,1,1
2200,3,1994,2,5,2,8,13,4,2,5,3,22,3,0,0,1,1
2200,5,1997,2,5,2,8,13,4,2,5,3,22,3,0,0,1,1
2239,1,1934,2,1,3,3,7,1,0,4,2,29,1,1,1,0,2
2244,1,1953,2,2,3,3,12,2,0,4,3,21,2,0,0,1,1
2244,3,1950,1,1,5,5,1,2,0,4,3,21,2,1,1,1,1
2253,1,1937,2,1,3,3,7,1,0,3,2,26,1,1,1,0,1
2299,1,1933,1,1,6,6,8,2,0,2,2,27,2,1,1,1,2
2299,3,1938,2,2,3,3,8,2,0,2,2,27,2,0,0,1,2
2310,1,1932,2,1,4,2,8,1,0,4,4,25,1,1,1,0,2
2311,1,1927,1,1,4,4,8,2,0,5,2,28,2,1,1,1,1
2311,2,1935,2,2,4,4,8,2,0,5,2,28,2,0,0,1,1
2318,1,1931,1,1,6,6,8,1,0,3,5,30,1,1,1,0,1
2320,1,1966,1,1,3,3,1,2,0,1,1,28,2,1,1,1,2
2320,2,1973,2,3, , ,12,2,0,1,1,28,2,0,0,1,2
2338,1,1952,1,1,6,6,1,2,0,3,4,25,2,1,1,1,1
2338,2,1952,2,2,5,5,1,2,0,3,4,25,2,0,0,1,1
2355,1,1936,1,1,5,5,8,2,0,2,1,27,2,0,1,1,1
2355,2,1940,2,2,5,5,8,2,0,2,1,27,2,1,0,1,1
2373,2,1927,1,1,6,6,8,1,0,2,4,23,1,1,1,0,2
2386,1,1930,2,2,2,2,7,2,0,3,3,22,2,0,0,1,1
2386,2,1931,1,1,3,3,8,2,0,3,3,22,2,1,1,1,1
