nohhold,nomem,weeknr,inkhh,inknorm,inkrond,finsitu,inkeven,inkaank,inksec,loan1,loan2,loan3,ink25a,ink25b,ink25c,ecsit,zinvol,opzij,hoevopzy,opzij12,spaarm01,spaarm02,spaarm03,spaarm04,spaarm05,spaarm06,spaarm07,spaarm08,spaarm09,spaarm10,spaarm11,spaarm12,spaarm13,spaarm14,spaarm15,spaarm16,situat1,situat2,situat3,situat4,situat5,situat6,situat7,spaar1,spaar2,spaar3,spaar4,spaar5,spaar6,beschryf,toek01,toek02,toek03,toek04,toek05,toek06,toek07,toek08,toek09,toek10,toek11,toek12,uitgeven,plannen,periode1,bijhoud,potjes,pin1,pin2,chip1,chip2,autom,foon,intern,zon,her1,her2,her3,her4,baby,plan,uitspr,hhrela,beslis,geldh,geluk,kenltd,kenhh,kenink,kenopl,kenwerk,manuur,vrouwuur,kunde,advies,con01,con02,con03,con04,con05,con06,con07,con08,con09,con10,locus01,locus02,locus03,locus04,locus05,locus06,locus07,locus08,locus09,locus10,locus11,locus12,locus13,work01,work02,work03,work04,work05,work06,work07,work08,work09,jeugd1,jeugd2,jeugd3,jeugd4,jeugd5,jeugd6,jeugd1_x,jeugd2_x,jeugd3_x,jeugd4_x,jeugd5_x,jeugd6_x,toek01_x,toek02_x,toek03_x,toek04_x,toek05_x,toek06_x,toek07_x,toek08_x,toek09_x,toek10_x,toek11_x,toek12_x
12716,1,201115,4,2,4,3,2, , ,2,1,2,3,2, ,3,3,2, ,3,6,5,-7,6,6,1,1,5,6,6,2,1,6,6,6,2,6,5,3,5,3,4,6,6,2,1,6,2,1,1, , , , , , , , , , , , ,4,2,1,2,1,1,4,1,3,-9,-9,4,90,100,100,20,100,1,1,2, , , ,1,13,2,9,6,5,0,0,1,2,2,3,4,1,3,3,2,4,2,4,5,6,5,3,6,5,5,3,4,5,1,1,2, , , , , , , , , , , , , , , ,1,5,3,3,3,3,5,2,6,6,5,2,5,3,5,6,6,6
12718,1,201117,2,2,3,3,2, , ,2,2,2,3,2, ,3,2,2, ,3,5,3,5,4,3,3,3,5,3,5,5,2,4,4,4,5,3,3,4,3,4,3,5,3,4,2,3,3,2,-7, , , , , , , , , , , , ,4,3,5,3,2,1,4,2, ,-9,-9,2,100,5,2,1,100,1,1,3,3,5,1,2,8,4,7,2,4,38,28,2,6,4,2,4,2,4,4,2,3,2,4,3,3,3,1,4,3,5,2,4,2,5,2,2,5,5,6,5,5,2,4,5,3, , , , , , ,4,5,2,3,4,4,3,3,3,4,3,5,5,5,4,5,4,4
12720,1,201115,3,2,4,4,3, , ,2,2,2,2,1,4,3,1,1,2,1,4,-7,7,6,7,5,6,7,5,7,6,3,-7,7,5,5,4,3,3,4,3,4,4,5,4,1,7,1,2,2, , , , , , , , , , , , ,6,2,4,5,1,1,4,1,2,-9,-9,4,60,50,2,0,98,2, , , , , ,3,9,1,8,6,4,40,36,3,6,3,3,4,1,3,4,2,3,2,4,7,5,7,5,5,6,6,2,5,2,2,2,2,5,5,5,6,5,5,3,5,4, , , , , , ,2,4,4,4,3,2,4,3,1,2,3,6,5,5,2,2,3,2
12721,1,201115,5,2,3,3,1,1,2,-7,1,2,3,2, ,3,2,1,1,2,2,4,6,6,6,6,6,6,2,6,6,2,4,6,6,6,5,4,4,4,4,4,5,6,4,1,6,3,2,3, , , , , , , , , , , , ,5,2,4,1,1,1,4,1,3,2,-9,2,90,100,100,90,100,1,3,3,2,2,1,3,11,2,11,4,5,10,5,2,6,2,4,4,3,5,5,2,5,1,4,5,4,6,6,6,6,4,1,2,1,3,1,1, , , , , , , , , , , , , , , ,4,4,1,4,2,3,4,3,5,3,4,3,5,4,5,5,4,5
12721,2,201115,5,1,2,2,2, , ,-7,2,2,2,2, ,3,2,2, ,3,6,7,6,6,1,3,6,6,7,6,5,3,4,6,4,5,4,5,4,4,3,5,5,6,2,1,5,4,4,3, , , , , , , , , , , , ,6,3,4,3,1,1,4,1,4,-9,-9,4,60,99,99,50,100,1,1,3,2,5,1,2,11,2,11,7,2,4,4,3,2,2,4,2,3,4,5,3,3,2,4,6,6,5,4,6,6,6,2,2,3,2,3,1,5,4,6,5,6,6,5,4,6, , , , , , ,1,2,2,4,4,2,5,5,5,5,5,6,5,5,4,4,3,6
12725,1,201115,3,2,3,3,2, , ,-7,3,2,3,2, ,3,1,1,2,1,3,5,7,5,6,3,6,6,3,6,6,2,5,6,4,6,4,3,4,4,4,3,3,6,5,2,5,2,2,2, , , , , , , , , , , , ,5,5,5,2,1,1,4,1,2,1,-9,3,90,70,0,0,100,1,-9,1,2,2,1,3,9,4,9,4,4,36,24,1,6,2,4,2,3,4,4,3,3,2,4,5,5,4,3,4,4,5,5,3,3,2,3,3,6,6,4,5,5,3,5,6,4, , , , , , ,2,3,3,3,2,2,5,4,2,3,4,3,4,3,4,4,4,2
12730,1,201115,3,2,3,2,1,1,1,2,3,2,4,2, ,3,1,1,2,2,1,5,1,1,1,-7,4,7,1,7,4,1,5,7,4,4,4,3,4,4,5,3,3,4,6,1,5,1,1,1, , , , , , , , , , , , ,4,4,1,4,1,1,4,2, ,-9,-9,4,75,99,85,0,100,1,1,3,2,4,2,2,13,2,9,4,5,0,10,2,4,4,3,3,2,4,4,1,3,2,5,3,4,5,2,5,6,7,3,4,4,4,2,1, , , , , , , , , , , , , , , ,4,5,1,4,3,1,4,4,5,3,6,3,5,4,4,5,5,4
12740,1,201117,4,2,5,5,3, , ,2,1,2,5,2, ,3,1,1,4,1,4,5,6,7,6,6,5,7,4,7,-7,2,3,7,6,6,4,4,2,5,4,4,3,6,6,1,7,2,2,-7, , , , , , , , , , , , ,6,2,5,2,1,1,2,1,1,-9,-9,3,90,85,75,30,90,1,-9,3,1,3,2,1,6,4,9,7,4,38,28,2,8,4,1,3,2,4,4,1,4,1,4,5,4,5,3,5,5,4,3,4,3,2,3,2,5,5,6,5,5,7,3,5,4, , , , , , ,1,5,4,4,2,2,4,4,3,3,4,6,6,5,4,3,3,3
12743,1,201115,-9, ,2,2,1,2, ,2,3,2,3,1,3,4,2,2, ,2,1,4,5,7,5,1,1,4,1,7,4,4,4,5,5,4,4,3,4,3,4,3,3, , , , , , , , , , , , , , , , , , , ,6,4,2,2,2,1,2,1,1,-9,-9,3,80,5,2,0,85,1,1,3,3,3,1,2,8,4,-9,6,4,36,12,1,1,3,4,2,1,2,3,4,4,2,1,4,3,3,4,5,5,6,1,2,1,1,1,1,6,6,5,6,4,1,1,6,6, , , , , , ,1,2,4,4,3,2,5,5,4,5,4,4,5,4,3,5,2,2
12743,2,201115,3,2,3,2,1,2, ,-7,3,2,2,2, ,4,1,2, ,2,1,4,6,7,6,2,2,6,3,7,6,3,4,7,7,5,2,2,6,4,6,2,4,5,3,1,5,4,3,-9, , , , , , , , , , , , ,6,2,3,1,1,1,2,1,1,2,-9,4,100,95,50,5,100,1,1,3,2,4,1,2,8,4,9,6,4,36,18,2,6,4,1,4,1,4,5,1,4,2,5,3,3,6,2,6,6,4,4,5,4,3,2,2,6,4,6,6,4,1,1,6,5, , , , , , ,4,5,5,4,1,1,5,4,2,3,4,5,5,5,3,4,4,2
12747,1,201115,4,2,4,4,3, , ,2,2,2,4,2, ,2,1,1,3,1,1,6,6,7,7,1,1,1,1,7,5,1,6,7,5,5,1,1,4,4,4,1,4,7,7,6,7,7,1,-7, , , , , , , , , , , , ,6,4,1,4,2,1,4,1,1,2,-9,3,75,100,100,10,100,1,1,3,1,3,1,2,9,2,9,2,4,38,36,1,1,4,4,2,1,3,4,5,3,1,4,6,6,6,6,6,7,7,4,6,2,2,2,3,6,7,6,5,6,1,7,7,6, , , , , , ,1,5,1,3,4,2,4,3,4,5,4,5,6,5,2,2,5,3
12749,1,201151,3,2,3,4,2, , ,2,2,2,3,2, ,3,1,1,2,1,5,7,6,6,4,1,1,7,5,6,4,1,4,6,6,5,4,2,2,2,7,2,2,7,7,1,4,4,1,-7, , , , , , , , , , , , ,5,5,2,1,1,1,4,1,1,2,-9,-9,1,100,10,0,100,1,1,2,2,3,2,2,10,3,8,5,4,38,16,1,1,5,2,3,1,5,5,2,3,1,5,5,4,4,1,6,6,6,5,7,4,4,1,4,7,7,7,7,4,1,4,7,2, , , , , , ,1,2,4,2,2,2,6,4,1,4,4,5,5,5,1,4,2,4
12749,2,201151,3,2,3,4,2, , ,2,2,2,3,2, ,3,1,1,2,1,3,4,6,6,6,1,1,7,4,6,5,1,6,6,6,6,4,2,4,2,6,2,5,5,5,1,5,3,3,-7,2,2,5,4,5,5,5,3,3,3,3,3,5,5,2,1,1,1,3,1,2,2,2,2,10,100,0,0,100,1,1,3,2,3,2,2,9,2,8,5,4,38,16,2,1,3,5,1,1,3,4,5,3,3,2,4,4,5,4,5,5,5,4,6,3,4,2,1,7,7,7,7,7,4,5,7,5, , , , , , ,4,1,2,2,2,1, , , , , , , , , , , , 
12754,1,201115,3,2,4,2,1,2, ,2,2,2,2,2, ,3,3,2, ,4,5,6,6,4,3,6,3,7,4,4,6,4,3,6,4,6,3,2,6,1,4,3,7,6,4,4,5,3,4,3, , , , , , , , , , , , ,4,4,3,3,1,1,4,1,1,-9,-9,4,70,50,20,10,80,1,1,5,2,3,1,3,5,4,10,6,4,36,32,2,1,1,4,1,3,4,3,4,3,3,3,5,6,6,6,4,7,4,2,6,1,4,2,1,1,1,7,6,5,7,1,2,6, , , , , , ,1,5,3,1,1,1,3,2,5,5,5,3,5,4,6,5,6,5
12755,1,201115,5,2,4,4,3, , ,-7,1,2,3,2, ,2,1,1,4,1,-7,-7,-7,-7,-7,-7,-7,7,-7,7,7,-7,-7,-7,-7,7,5,4,4,4,4,4,4,7,7,7,7,1,1,1, , , , , , , , , , , , ,6,2,1,5,2,1,4,1,1,2,2,2,50,50,0,0,0,1,1,5, , , ,2,8,1,-9,4,4,40,35,3,7,5,1,4,1,5,5,1,5,1,5,4,4,4,4,4,4,6,4,4,4,4,4,4, , , , , , , , , , , , , , , ,1,1,3,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7
12767,2,201115,4,2,3,3,2, , ,2,2,2,3,2, ,3,1,1,2,1,6,6,6,6,4,4,3,3,4,6,5,6,6,6,6,4,4,5,2,4,6,4,6,5,5,3,5,2,2,-7, , , , , , , , , , , , ,4,5,1,3,2,1,4,1,2,-9,-9,4,100,50,10,0,100,1,1,3,1,3,1,2,7,4,-9,6,4,36,24,2,1,2,5,3,1,5,5,2,5,2,3,2,2,2,2,6,6,6,2,7,2,2,2,2,7,7,6,7,6,6,4,6,4, , , , , , ,2,2,3,4,3,3,3,3,5,3,5,2,5,4,5,4,2,4
12775,1,201115,1,2,2,3,2, , ,-7,4,2,3,2, ,3,1,1,-9,1,-7,-7,6,6,6,-7,6,6,-7,6,-7,-7,-7,6,6,-7,1,1,1,4,1,1,1,1,1,1,4,1,1,-7, , , , , , , , , , , , ,6,5,2,3,2,1,2,2, ,2,-9,2,50,0,0,0,0,2, , , , , ,2,9,1,-9,5,4,36,36,2,5,4,2,2,2,4,4,2,4,2,5,4,4,4,2,2,2,4,4,4,4,2,2,2,7,7,1,7,1,7,7,7,1, , , , , , ,1,5,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1
12777,1,201115,3,2,3,2,1,1,2,-7,2,2,3,2, ,3,1,1,1,1,1,5,7,7,5,3,3,5,2,7,7,-7,6,5,3,3,4,4,5,4,4,4,4,5,6,1,7,1,1,-7, , , , , , , , , , , , ,5,3,1,4,4,1,3,2, ,2,-9,2,90,100,100,0,100,1,-9,5,1, , ,2,9,2,9,3,4,36,28,2,1,4,1,2,1,5,5,1,4,1,5,7,1,2,1,4,2,3,4,4,4,2,1,1, , , , , , , , , , , , , , , ,3,3,3,2,3,3,6,5,3,6,6,1,6,3,4,4,3,3
12783,1,201141,4,2,3,4,3, , ,2,2,2,3,1,3,3,3,1,1,3,2,3,4,3,5,3,3,5,1,6,3,4,5,5,4,4,4,4,3,4,5,4,6,5,5,2,5,5,3,-7, , , , , , , , , , , , ,4,2,2,2,1,1,3,2, ,-9,1,2,90,90,90,90,90,2, , ,1,3,2,2,6,1,-9,5,4,40,32,2,6,4,3,2,2,3,4,3,4,2,4,2,5,4,4,6,6,5,3,4,3,4,3,3,6,4,6,5,6,6,4,5,3, , , , , , ,1,2,4,2,2,3,4,3,4,3,5,3,4,4,4,4,4,4
12783,2,201115,3,2,3,3,3, , ,2,2,2,4,2, ,3,2,1,1,1,-7,-7,5,5,5,3,3,4,2,5,3,3,-7,4,4,4,4,4,4,4,4,4,4,6,6,2,6,2,2,-7, , , , , , , , , , , , ,2,4,2,3,1,1,2,1,1,-9,-9,3,80,50,40,10,50,2, , ,1,3,2,2,6,1,-9,5,4,36,0,2,6,3,3,2,3,3,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,2,2,2,2, , , , , , ,1,3,2,2,2,2,2,3,5,5,4,4,4,4,4,4,4,4
12789,1,201115,4,2,4,4,2, , ,1,1,2,3,2, ,3,1,1,2,1,1,4,4,4,4,1,1,7,1,7,6,1,4,7,4,2,4,4,4,4,4,4,4,4,4,4,4,1,1,-7, , , , , , , , , , , , ,4,3,1,3,2,1,3,1,1,2,-9,4,80,50,0,0,80,1,1,3,1,3,1,2,10,2,-9,3,4,36,20,2,8,3,1,2,1,5,5,1,3,1,5,4,1,4,1,6,4,4,4,4,4,4,4,1,7,7,6,6,5,7,6,6,4,3,5,3,2,3,3, , , , , , ,4,4,4,4,4,4,7,4,1,4,4,4
12790,2,201115,3,2,4,4,1,1,1,-7,1,2,4,2, ,2,2,1,2,2,3,5,3,3,4,2,2,3,2,4,4,1,4,5,3,3,3,4,3,2,3,4,6,7,4,4,6,2,4,2, , , , , , , , , , , , ,5,2,4,4,1,1,3,2, ,-9,3,3,80,100,100,20,80,1,2,3,2,3,1,2,10,4,8,4,1,40,20,2,9,3,3,2,1,5,5,3,4,1,3,4,3,3,4,4,4,5,4,4,2,4,3,4, , , , , , , , , , , , , , , ,4,1,1,1,4,4,4,5,2,6,4,3,6,5,1,1,4,2
12792,1,201115,3,3,3,2,1,1,1,2,2,1,2,2, ,3,2,1,2,2,2,7,7,5,6,6,4,7,2,5,7,7,6,5,4,4,6,6,2,6,4,6,7,3,1,1,3,5,5,3, , , , , , , , , , , , ,4,5,1,3,1,1,4,2, ,-9,-9,4,80,90,0,0,100,1,1,3,2,3,2,2,9,2,7,6,4,40,32,3,8,2,4,2,2,4,3,4,3,1,4,1,3,4,4,5,5,5,2,5,3,2,3,2,7,6,7,6,6,5,3,4,5, , , , , , ,1,3,5,3,3,4,6,2,6,5,4,4,3,3,5,4,5,4
12798,1,201115,3,2,4,5,3, , ,2,1,2,4,1,4,5,1,1,4,1,-7,-7,5,6,5,5,4,6,-7,5,4,2,-7,6,6,6,5,3,3,4,5,4,5,7,7,1,7,4,4,-7, , , , , , , , , , , , ,6,3,2,3,1,1,3,1,2,2,-9,4,80,0,0,0,0,2, , , , , ,1,6,2,7,4,4,40,40,2,6,3,2,2,1,3,4,1,4,2,4,4,2,5,5,6,6,6,3,4,3,2,2,4,7,7,7,7,7,3,2,4,4, , , , , , ,1,2,3,2,2,2,4,3,3,3,5,4,6,4,2,4,2,2
12808,1,201115,3,2,4,4,2, , ,2,1,2,4,2, ,2,1,1,3,1,5,5,6,6,6,6,6,6,6,6,5,-7,6,6,6,6,5,5,4,5,3,5,5,4,3,4,5,4,3,3, , , , , , , , , , , , ,5,2,2,4,2,1,4,1,2,-9,-9,4,80,70,50,20,100,1,2,2,1,3,2,2,10,2,6,4,4,20,10,2,1,4,2,3,1,4,4,2,4,2,4,5,5,5,2,5,5,5,4,5,5,2,2,2, , , , , , , , , , , , , , , ,4,5,2,2,4,4,5,5,4,5,5,5,5,5,3,4,3,4
12809,1,201115,3,2,4,3,2, , ,-7,1,2,3,2, ,3,1,2, ,2,3,7,-7,6,6,1,1,6,2,6,-7,-7,6,6,6,6,5,4,4,4,3,4,6,7,7,2,7,1,1,1, , , , , , , , , , , , ,6,1,2,5,1,1,3,1,2,-9,3,-9,100,100,55,0,100,1,1,3,1,3,1,2,12,2,-9,3,5,0,0,3,3,3,2,1,1,4,4,3,4,2,4,3,4,4,1,4,5,4,3,6,6,1,1,3, , , , , , , , , , , , , , , ,4,5,1,4,3,2,1,2,5,2,5,2,6,4,5,1,3,3
12810,1,201115,3,2,4,4,2, , ,-7,3,2,3,2, ,3,-9,2, ,2,-7,-7,4,6,7,-7,2,6,-7,6,4,-7,-7,6,6,6,4,3,5,4,5,2,4,1,7,1,1,1,1,-7, , , , , , , , , , , , ,4,4,3,4,1,1,4,1,1,2,-9,4,100,0,0,0,10,2, , , , , ,2,8,2,8,2,4,40,28,1,1,4,1,3,1,4,5,1,4,1,4,4,4,4,4,5,4,3,4,3,3,4,4,4,2,4,7,7,6,7,1,7,1, , , , , , ,4,4,5,1,4,4,1,1,4,4,4,2,4,2,4,5,4,4
12835,2,201115,4,2,3,2,1,2, ,2,2,2,3,2, ,2,1,1,2,1,1,4,5,5,7,1,1,4,1,7,4,1,4,7,7,4,2,1,5,2,4,1,3,7,7,1,7,1,1,-7,2,2,2,7,4,3,4,4,1,3,4,4,4,5,3,3,2,1,4,1,2,-9,2,2,60,1,1,1,75,1,1,3,2,3,1,3,9,2,-9,5,4,38,20,2,6,3,2,1,1,5,5,1,4,1,5,4,1,6,1,5,2,2,4,7,3,1,4,2,7,7,7,7,5,7,4,6,5,1,5,1,3,1,1, , , , , , , , , , , , , , , , , , 
12835,4,201117, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,4,4,6,2,1,7,7,4,2,5,5,7,7,7,7,7,7,3,6,2,3,1,1,3,2, ,-9,3,2,70,5,0,0,80,2, , ,3, , ,3,3,2,3,5,1,30,25,1,1,1,4,2,2,2,2,4,2,3,4,3,4,5,4,3,3,4,4,5,3,4,3,1, , , , , , , , , ,1,2,3,2,2,3, , , , , , , , , , , , , , , , , , 
12837,1,201115,3,2,5,5,3, , ,-7,1,2,3,2, ,2,1,1,3,2,-7,-7,6,5,6,3,3,6,1,6,6,1,-7,6,6,5,5,5,2,5,4,4,6,6,2,3,6,3,2,3, , , , , , , , , , , , ,5,3,1,3,1,1,3,1,1,2,-9,4,99,30,20,1,90,2, , ,2,3,1,2,9,2,8,3,4,32,20,2,8,4,1,2,2,4,4,1,4,1,2,3,3,2,3,5,4,5,4,2,3,2,2,2,6,5,4,5,3,5,3,5,4, , , , , , ,4,5,1,1,3,2,2,3,4,2,4,2,5,4,5,5,4,3
12837,2,201115,3,1,4,4,2, , ,-7,3,2,3,2, ,2,1,1,-9,1,-7,-7,6,6,6,6,6,7,-7,7,7,-7,-7,7,6,5,5,4,3,5,4,3,6,7,7,1,5,2,1,1, , , , , , , , , , , , ,5,2,4,2,1,2, ,2, ,-9,2,4,75,25,75,0,100,2, , ,2,3,1,3,10,2,-9,6,4,32,24,2,9,2,2,3,3,3,3,2,2,2,2,1,5,2,2,6,4,4,4,4,4,4,4,2, , , , , , , , , , , , , , , ,1,4,5,2,2,2,5,4,4,3,5,4,5,4,5,4,4,4
12838,1,201115,3,2,3,4,2, , ,2,3,2,4,2, ,3,1,2, ,1,1,4,3,7,7,3,1,7,1,7,1,1,1,7,7,4,4,1,7,4,7,3,4,2,2,5,4,4,6,4, , , , , , , , , , , , ,5,6,3,1,2,1,4,1,1,-9,-9,3,50,50,5,1,100,1,1,3,3,4,1,3,6,2,-9,5,4,40,40,2,2,4,2,4,2,3,3,3,4,2,4,5,5,5,6,6,6,6,2,5,2,2,2,2,7,7,7,5,5,1,4,7,4, , , , , , ,4,5,1,1,1,1,4,4,2,2,6,3,6,3,2,2,2,4
12839,1,201115,-9,2,3,4,3, , ,2,5,2,4,1,4,2,1,1,2,2,-7,-7,3,5,5,-7,3,5,-7,5,2,2,-7,6,5,6,2,3,5,2,5,2,4, , , , , , , , , , , , , , , , , , , ,5,2,1,3,1,1,4,2, ,2,-9,1,70,0,0,0,0,2, , , , , ,3,9,1,6,6,4,40,30,2,1,1,5,1,3,2,4,4,2,3,1,6,2,3,2,3,2,3,5,2,6,5,6,3, , , , , , , , , , , , , , , ,1,4,3,2,3,2,6,5,3,5,6,5,3,5,6,6,6,5
12854,1,201115,2,2,4,4,3, , ,2,1,2,4,2, ,3,1,1,2,1,-7,-7,6,6,4,1,1,7,1,6,5,-7,-7,5,5,6,5,3,2,5,5,4,3,5,5,1,6,1,2,1, , , , , , , , , , , , ,5,2,2,1,1,1,4,1,1,2,1,3,90,99,40,5,100,2, , , , , ,1,6,3,6,3,4,36,24,2,1,2,5,3,1,4,4,3,4,1,3,1,5,4,3,6,6,6,4,5,3,2,3,2,7,7,6,7,6,2,2,6,5, , , , , , ,3,4,3,2,3,1,2,2,6,4,6,4,5,4,4,4,4,3
12855,1,201115,2,2,4,4,2, , ,1,2,2,3,1,5,4,1,1,2,1,-7,-7,5,7,5,2,1,6,3,6,5,1,-7,6,6,5,4,2,5,5,6,4,5,6,7,1,7,1,1,4, , , , , , , , , , , , ,6,2,2,4,1,1,4,1,1,2,-9,2,95,80,10,0,80,2, , , , , ,2,8,3,7,3,4,40,30,1,1,1,4,1,3,2,4,3,2,2,2,5,5,5,2,4,6,5,4,6,3,1,2,3,6,6,6,6,3,1,3,5,6, , , , , , ,3,5,2,4,2,2,3,6,5,3,2,4,5,4,4,5,5,4
12856,1,201115,3,2,4,4,3, , ,2,3,2,3,2, ,3,3,1,2,2,1,5,7,4,7,1,1,6,1,5,7,1,5,6,4,4,2,2,4,3,4,2,3,2,1,5,4,4,5,4, , , , , , , , , , , , ,6,2,2,3,1,1,2,2, ,-9,-9,3,70,95,40,0,100,1,1,3,2,3,2,2,10,2,8,4,4,40,15,2,8,3,3,3,2,4,4,1,3,2,5,5,3,4,2,6,4,1,3,7,5,3,2,1,3,2,5,4,4,5,5,3,1, , , , , , ,4,5,1,3,4,3,2,5,2,4,4,5,6,6,3,2,3,3
12857,1,201117,-9, ,4,5,3, , ,2,2,2,4,1,4,3,1,1,-9,1,4,7,7,5,6,6,4,4,4,6,7,4,6,7,6,6,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , ,5,2,3,4,4,1,3,1,2,-9,-9,3,90,100,70,10,100,1,-9,3,1,3,2,1,8,3,-9,6,4,40,25,3,9,4,2,3,2,3,4,2,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4, , , , , , ,1,3,3,4,3,3,5,2,4,4,6,4,4,4,4,4,4,4
12859,1,201115,4,2,3,2,1,2, ,-7,3,2,3,2, ,2,4,2, ,3,2,4,1,2,2,2,2,4,2,3,1,1,2,4,2,2,2,2,4,2,4,2,3,1,6,1,5,4,1,2,2,2,4,3,2,1,4,4,5,5,5,2,4,6,2,2,1,1,4,1,1,-9,-9,4,100,0,0,0,60,1,1,5,2,4,2,3,13,2,10,7,2,0,0,1,1,2,4,3,2,2,2,4,2,4,4,3,4,3,4,4,4,4,6,2,5,4,6,3, , , , , , , , , ,1,4,4,4,2,4, , , , , , , , , , , , , , , , , , 
12862,1,201115,3,2,4,4,3, , ,2,1,2,4,2, ,3,1,1,4,2,6,6,6,4,4,3,3,6,6,3,4,2,5,6,4,4,5,2,2,5,3,4,5,6,3,4,6,1,2,1, , , , , , , , , , , , ,5,1,3,4,1,1,1,2, ,2,-9,4,80,80,60,10,80,1,3,2,2,3,1,4,8,1,6,2,4,40,20,3,3,4,1,2,1,4,4,1,4,1,4,4,5,5,3,5,6,5,2,5,2,2,2,3, , , , , , , , , , , , , , , ,1,1,4,2,2,3,6,5,3,6,3,3,5,5,3,3,3,4
12862,2,201115,3,2,5,5,3, , ,-7,1,2,4,2, ,3,1,1,3,1,4,7,6,6,7,5,1,7,4,6,6,2,2,6,4,5,6,4,2,6,4,4,7,7,7,1,7,1,1,1, , , , , , , , , , , , ,6,1,3,4,1,1,4,1,1,2,-9,4,60,80,70,0,100,1,2,3,1,3,1,2,8,2,-9,3,4,0,12,2,9,4,4,4,1,4,4,2,4,1,4,4,4,4,4,6,6,6,2,6,2,2,2,2,7,7,6,6,5,2,4,6,4, , , , , , ,1,2,4,2,3,3,4,4,3,5,5,5,5,4,3,5,5,3
12868,1,201115,3,2,4,4,3, , ,2,1,2,3,1,3,3,1,1,2,2,2,4,6,4,3,2,2,6,2,6,6,1,3,6,6,6,5,4,4,4,4,4,5,3,2,1,3,2,2,3, , , , , , , , , , , , ,6,2,4,3,1,1,3,1,2,2,-9,4,80,25,1,1,99,1,1,3,2,3,1,2,10,2,7,6,4,38,15,3,2,4,2,3,2,3,4,2,4,1,4,5,4,4,4,5,5,5,3,3,3,3,4,3,5,5,5,6,5,4,2,3,4, , , , , , ,1,4,4,3,2,2,6,6,2,2,4,5,6,5,2,3,2,5
12868,2,201115,3,2,3,4,3, , ,-7,2,2,3,1,4,3,1,1,2,2,3,5,7,5,6,3,2,6,4,6,6,1,6,6,6,6,4,4,4,4,4,4,5,6,4,1,6,2,2,1, , , , , , , , , , , , ,5,3,4,2,1,1,4,1,2,2,-9,2,75,99,20,1,99,1,1,3,1,3,1,2,10,2,7,6,4,36,15,2,2,4,2,2,4,4,4,2,4,1,4,4,4,4,4,5,5,5,3,3,3,2,4,4, , , , , , , , , , , , , , , ,1,3,3,2,2,2,5,5,4,4,5,5,6,5,1,2,2,3
12868,3,201115, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,1,5,3,2,1, , , , , , , , , , , , ,3,4,3,1,2,1,4,1,2,2,-9,4,70,50,5,1,80,1,1,3,1, , ,1,4,3,6,6,4,40,32,1,1,3,3,3,2,4,4,2,4,1,4,5,4,4,4,5,5,6,3,2,3,2,4,4,6,6,6,6,5,1,4,6,5, , , , , , ,1,4,4,2,2,2,5,5,3,3,5,5,6,5,2,3,2,3
12872,1,201115,4,2,4,4,3, , ,-7,1,2,3,2, ,4,1,1,3,2,4,5,6,4,5,5,5,7,5,6,6,1,6,6,6,6,5,4,3,4,4,5,6,5,3,1,5,3,4,3, , , , , , , , , , , , ,4,1,4,4,1,1,4,1,1,2,-9,4,95,60,30,2,75,1,-9,3,2,3,1,2,7,4,9,5,4,40,20,2,6,4,2,2,1,5,5,1,4,2,4,4,3,3,5,6,5,6,3,3,3,3,3,2,5,6,5,7,5,1,4,7,5, , , , , , ,4,5,2,3,4,4,5,4,4,5,3,4,5,3,2,3,3,3
12874,1,201115,3,2,3,2,1,2, ,1,2,1,2,2, ,2,3,1,2,3,4,6,6,5,6,3,3,3,2,4,5,4,4,6,5,5,3,3,3,3,4,3,4,3,2,1,4,3,3,5, , , , , , , , , , , , ,4,5,3,5,2,1,4,1,1,2,1,4,80,60,20,2,80,1,-9,3,1,3,1,1,7,4,8,4,4,38,20,2,6,3,2,1,1,3,4,1,4,1,3,4,5,5,4,5,5,5,4,5,2,2,2,2,6,5,7,6,6,6,2,5,6, , , , , , ,4,3,1,1,4,4,4,4,4,3,5,4,4,5,3,3,4,5
12874,2,201115,3,2,3,3,2, , ,1,3,1,3,2, ,3,3,2, ,3,4,5,4,4,5,4,5,5,5,5,5,5,5,5,5,4,3,3,3,4,3,4,4,4,5,4,4,2,1,4, , , , , , , , , , , , ,4,4,3,4,2,1,4,1,1,2,1,4,70,50,20,5,75,1,-9,3,2,3,1,2,6,4,8,4,4,38,20,1,6,4,1,2,1,4,4,1,4,1,5,5,5,5,5,4,4,4,3,3,3,3,3,3,4,4,4,5,2,5,5,4,2, , , , , , ,4,3,1,4,3,2,4,4,5,5,5,3,4,4,2,4,3,4
