nohhold,nomem,gebjaar,geslacht,positie,oplzon,oplmet,bezighei,aantalhh,aantalki,sted,regio,prov,woonvorm,account,kostwin,partner,woning
547,4,1989,1,5,4,4,6,4,2,2,4,25,3,0,0,1,2
562,1,1930,1,1,7,7,8,2,0,3,5,31,2,0,1,1,1
562,2,1941,2,2,6,6,8,2,0,3,5,31,2,1,0,1,1
571,1,1944,1,1,7,4,8,2,0,5,1,27,2,1,1,1,1
571,2,1951,2,2,6,6,7,2,0,5,1,27,2,0,0,1,1
601,1,1964,1,1,6,6,1,2,0,5,4,23,2,1,1,1,1
601,2,1967,2,2,6,6,1,2,0,5,4,23,2,0,0,1,1
628,1,1926,2,2,5,5,7,2,0,3,3,21,2,0,0,1,1
628,2,1927,1,1,7,7,8,2,0,3,3,21,2,1,1,1,1
633,1,1952,1,1,7,7,1,5,3,4,5,30,3,1,1,1,1
633,2,1960,2,2,4,4,1,5,3,4,5,30,3,0,0,1,1
633,3,1988,2,5,7,4,6,5,3,4,5,30,3,0,0,1,1
633,4,1991,2,5,7,4,6,5,3,4,5,30,3,0,0,1,1
633,5,1992,1,5,4,4,6,5,3,4,5,30,3,0,0,1,1
636,1,1967,2,3,4,4,1,2,0,4,2,28,2,1,0,1,1
636,2,1968,1,1,6,5,1,2,0,4,2,28,2,0,1,1,1
643,1,1931,1,1,6,6,8,1,0,2,2,29,1,1,1,0,2
655,1,1944,1,1,3,3,8,2,0, , , ,2,0,1,1,2
655,2,1946,2,2,6,6,8,2,0, , , ,2,1,0,1,2
657,1,1955,2,2,6,6,1,2,0,2,2,27,2,0,0,1,1
657,2,1956,1,1,6,6,1,2,0,2,2,27,2,1,1,1,1
709,1,1938,1,1,6,6,8,2,0,2,5,30,2,1,1,1,1
709,2,1943,2,2,7,7,8,2,0,2,5,30,2,0,0,1,1
733,1,1926,2,2,3,3,8,2,0,3,4,25,2,0,0,1,1
733,2,1930,1,1,7,7,8,2,0,3,4,25,2,1,1,1,1
797,1,1929,1,1,3,3,8,2,0,1,1,28,2,1,1,1,2
797,2,1930,2,2,2,2,10,2,0,1,1,28,2,0,0,1,2
816,1,1951,1,1,6,6,1,3,1,3,4,25,3,1,1,1,1
816,2,1953,2,2,4,4,7,3,1,3,4,25,3,0,0,1,1
816,4,1993,2,5,4,2,6,3,1,3,4,25,3,0,0,1,1
819,1,1926,1,1,3,3,8,2,0,2,5,30,2,0,0,1,1
819,2,1927,2,2,4,4,8,2,0,2,5,30,2,1,1,1,1
825,1,1949,1,1,4,2,1,2,0,1,2,27,2,1,1,1,1
825,2,1952,2,2,5,5,7,2,0,1,2,27,2,0,0,1,1
831,1,1943,2,1,7,6,8,1,0,4,2,28,1,1,1,0,1
844,1,1958,1,1,5,3,1,5,3,5,4,25,3,0,1,1,1
844,2,1965,2,2,4,4,7,5,3,5,4,25,3,1,0,1,1
844,3,1985,2,5,4,4,1,5,3,5,4,25,3,0,0,1,1
844,4,1988,2,5,3,3,1,5,3,5,4,25,3,0,0,1,1
844,5,1990,2,5,3,3,1,5,3,5,4,25,3,0,0,1,1
848,1,1944,1,2,7,5,9,2,0,4,1,27,2,1,0,1,1
848,2,1947,2,1,7,6,9,2,0,4,1,27,2,0,1,1,1
873,1,1957,1,1,4,5,1,4,2,2,4,23,3,1,1,1,2
873,2,1960,2,2,6,6,7,4,2,2,4,23,3,0,0,1,2
873,3,1994,2,5,4,2,6,4,2,2,4,23,3,0,0,1,2
873,4,1997,1,5,2,8,6,4,2,2,4,23,3,0,0,1,2
902,1,1937,1,1,6,6,8,1,0,3,5,30,1,1,1,0,1
905,1,1940,1,1,4,3,8,1,0,4,5,30,1,1,1,0,2
957,1,1969,2,3,5,5,1,4,2,5,3,20,3,0,0,1,1
957,2,1968,1,1,5,5,3,4,2,5,3,20,3,1,1,1,1
957,3,1997,1,5,2,8,6,4,2,5,3,20,3,0,0,1,1
957,4,1999,1,5,2,8,6,4,2,5,3,20,3,0,0,1,1
979,1,1938,1,1,6,6,8,2,0,1,1,28,2,1,1,1,1
979,2,1940,2,2,3,3,8,2,0,1,1,28,2,0,0,1,1
986,1,1933,1,1,2,2,8,2,0,2,5,30,2,0,1,1,1
986,2,1937,2,2,3,3,8,2,0,2,5,30,2,1,0,1,1
1001,1,1925,2,2,6,6,8,2,0,3,4,23,2,0,0,1,1
1001,2,1929,1,1,6,6,8,2,0,3,4,23,2,1,1,1,1
1019,1,1939,2,1,6,6,8,1,0,2,4,23,1,1,1,0,1
1039,1,1951,1,1,7,7,1,1,0,2,4,25,1,1,1,0,1
1049,1,1928,1,1,7,7,8,2,0,1,1,28,2,1,1,1,1
1049,2,1929,2,2,6,6,8,2,0,1,1,28,2,0,0,1,1
1072,1,1949,1,2,4,4,4,2,0,5,2,29,2,1,0,1,1
1072,2,1952,2,1,5,5,1,2,0,5,2,29,2,0,1,1,1
1107,1,1933,1,1,7,6,8,1,0,5,2,28,1,1,1,0,1
1128,1,1960,1,1,7,6,1,1,0,1,1,27,1,1,1,0,1
1138,1,1939,1,1,3,3,8,2,0,4,4,25,2,1,1,1,2
1138,2,1945,2,2,3,3,9,2,0,4,4,25,2,0,0,1,2
1155,1,1957,2,1,6,6,1,1,0,3,2,28,1,1,1,0,1
1159,1,1946,1,1,6,6,1,5,3,2,1,28,3,1,1,1,2
1159,2,1952,2,2,3,3,7,5,3,2,1,28,3,0,0,1,2
1159,3,1975,1,5,3,3,1,5,3,2,1,28,3,0,0,1,2
1159,6,1981,1,5,6,4,1,5,3,2,1,28,3,0,0,1,2
1159,7,1987,2,5,3,2,1,5,3,2,1,28,3,0,0,1,2
1166,1,1952,1,1,3,3,1,2,0,5,2,29,2,0,1,1,1
1166,2,1955,2,2,5,5,1,2,0,5,2,29,2,1,0,1,1
1169,1,1936,1,1,7,7,8,2,0,4,2,27,2,1,1,1,1
1169,2,1941,2,2,4,4,8,2,0,4,2,27,2,0,0,1,1
1177,1,1946,1,1,3,3,8,2,0,5,2,29,2,1,1,1,2
1177,2,1958,2,2,2,2,1,2,0,5,2,29,2,0,0,1,2
1197,1,1933,1,1,7,7,8,2,0,2,5,30,2,1,1,1,1
1197,2,1935,2,2,6,6,7,2,0,2,5,30,2,0,0,1,1
1202,1,1946,1,1,3,3,1,3,1,5,4,25,3,1,1,1,1
1202,2,1956,2,2,3,3,7,3,1,5,4,25,3,0,0,1,1
1202,4,1986,2,5,3,3,1,3,1,5,4,25,3,0,0,1,1
1203,1,1930,2,2,2,2,7,2,0,3,2,29,2,0,0,1,2
1203,2,1932,1,1,6,5,8,2,0,3,2,29,2,1,1,1,2
1217,1,1943,1,1,6,6,8,2,0,4,2,28,2,0,1,1,2
1217,2,1950,2,2,5,5,7,2,0,4,2,28,2,1,0,1,2
1237,2,1949,2,1,3,3,7,1,0,2,2,28,1,1,1,0,2
1242,1,1939,2,1,5,3,7,1,0,2,2,27,1,1,1,0,1
1253,1,1965,1,1,4,4,1,4,2,5,2,29,3,1,1,1,1
1253,2,1965,2,2,6,6,1,4,2,5,2,29,3,0,0,1,1
1253,3,1995,1,5,3,2,6,4,2,5,2,29,3,0,0,1,1
1253,4,1998,1,5,2,8,6,4,2,5,2,29,3,0,0,1,1
1263,1,1949,1,1,6,3,1,1,0,2,2,27,1,1,1,0,1
1285,1,1927,1,1,5,5,11,2,0,1,1,27,2,1,1,1,2
1285,2,1930,2,2,5,5,7,2,0,1,1,27,2,0,0,1,2
1289,1,1946,2,1,3,3,1,1,0,4,2,29,1,1,1,0,1
1291,1,1958,2,1,6,6,1,2,0,4,5,30,5,1,1,0,1
1291,2,1959,2,7,7,6,1,2,0,4,5,30,5,0,0,0,1
1294,1,1961,1,1,6,6,3,4,2,2,2,27,3,1,1,1,1
1294,2,1965,2,2,6,6,1,4,2,2,2,27,3,0,0,1,1
1294,3,1995,1,5,2,2,13,4,2,2,2,27,3,0,0,1,1
1294,4,1996,2,5,2,2,13,4,2,2,2,27,3,0,0,1,1
1303,1,1961,1,1,5,5,3,6,4,4,2,28,3,1,1,1,1
1303,2,1963,2,2,4,4,7,6,4,4,2,28,3,0,0,1,1
1303,3,1986,1,5,6,6,1,6,4,4,2,28,3,0,0,1,1
1303,4,1988,1,5,7,4,6,6,4,4,2,28,3,0,0,1,1
1303,5,1992,1,5,4,2,6,6,4,4,2,28,3,0,0,1,1
1303,6,1994,2,5,4,2,6,6,4,4,2,28,3,0,0,1,1
1327,1,1943,2,2,6,6,8,2,0,4,2,26,2,0,0,1,1
1327,2,1947,1,1,6,6,8,2,0,4,2,26,2,1,1,1,1
1331,1,1915,1,1,3,3,8,1,0,2,1,28,1,1,1,0,2
1337,1,1939,2,1,6,6,8,1,0,3,2,27,1,1,1,0,1
1350,1,1935,1,1,3,3,8,2,0,3,5,30,2,0,1,1,1
1350,2,1936,2,2,4,4,8,2,0,3,5,30,2,1,0,1,1
1375,1,1949,2,1,6,6,1,1,0,5,4,23,1,1,1,0,1
1386,1,1944,1,1,6,6,8,2,0,2,5,31,2,1,1,1,1
1386,2,1947,2,2,5,5,11,2,0,2,5,31,2,0,0,1,1
1391,1,1934,1,1,3,3,8,2,0,2,2,27,2,1,1,1,2
1391,2,1937,2,2,3,3,7,2,0,2,2,27,2,0,0,1,2
1392,1,1943,1,1,6,5,8,2,0,3,5,30,2,1,1,1,1
1392,2,1946,2,2,4,4,7,2,0,3,5,30,2,0,0,1,1
1419,1,1922,2,1,4,4,8,2,0,5,5,30,5,1,0,0,2
1419,2,1957,2,6,7,7,4,2,0,5,5,30,5,0,1,0,2
1420,1,1935,1,2,3,2,8,2,0,1,1,28,2,1,0,1,1
1420,2,1937,2,1,3,2,8,2,0,1,1,28,2,0,1,1,1
1426,1,1935,1,1,4,4,8,2,0,1,1,28,2,1,1,1,1
1426,2,1937,2,2,4,4,7,2,0,1,1,28,2,0,0,1,1
1454,1,1946,1,1,3,3,9,2,1,5,4,25,4,1,1,0,2
1454,4,1978,1,5,5,2,9,2,1,5,4,25,4,0,0,0,2
1468,1,1945,1,1,3,2,8,1,0,5,3,22,1,1,1,0,1
1469,1,1937,1,1,3,3,8,1,0,5,5,30,1,1,1,0,2
1491,1,1932,2,1,6,6,8,1,0,3,5,30,1,1,1,0,1
1514,1,1942,1,1,6,6,8,2,0,3,2,28,2,1,1,1,1
1514,2,1944,2,2,6,6,8,2,0,3,2,28,2,0,0,1,1
1524,1,1968,2,1,5,5,1,1,0,3,5,30,1,1,1,0,2
1546,1,1921,1,1,7,7,8,1,0,1,1,28,1,1,1,0,2
1549,1,1935,1,1,4,4,8,1,0,1,1,27,1,1,1,0,2
1554,1,1943,1,1,6,6,8,2,0,3,5,31,2,1,1,1,1
1554,3,1948,2,3,3,3,7,2,0,3,5,31,2,0,0,1,1
1593,1,1958,1,1,5,5,1,2,0,3,5,31,2,0,1,1,1
1593,2,1959,2,2,3,3,1,2,0,3,5,31,2,1,0,1,1
1596,1,1926,2,1,7,7,8,1,0,1,1,27,1,1,1,0,2
1604,1,1955,1,1,3,2,1,2,0,5,2,29,2,1,1,1,1
1604,2,1956,2,2,3,2,12,2,0,5,2,29,2,0,0,1,1
1664,1,1939,1,1,7,7,8,2,0,4,5,30,2,1,1,1,1
1664,2,1940,2,2,6,6,8,2,0,4,5,30,2,0,0,1,1
1672,1,1931,1,1,6,4,8,1,0,2,4,23,1,1,1,0,1
1679,1,1958,1,1,5,3,1,5,1,5,5,31,5,0,1,1,1
1679,2,1964,2,2,3,3,1,5,1,5,5,31,5,1,0,1,1
1679,4,1988,2,5,5,3,1,5,1,5,5,31,5,0,0,1,1
1679,6,2007,2,7,8,8,13,5,1,5,5,31,5,0,0,1,1
1679,7,1981,1,6,3,3,1,5,1,5,5,31,5,0,0,1,1
1757,1,1958,1,1,4,4,1,1,0,3,4,25,1,1,1,0,1
1802,1,1948,1,1,6,6,8,2,0,3,5,30,2,1,1,1,1
1802,2,1949,2,2,5,5,7,2,0,3,5,30,2,0,0,1,1
1821,1,1935,1,1,3,3,8,2,0,1,1,27,2,0,1,1,2
1821,2,1938,2,2,3,3,7,2,0,1,1,27,2,1,0,1,2
1840,1,1958,1,1,6,5,9,1,0,2,5,30,1,1,1,0,1
1893,1,1933,2,2,3,3,7,2,0,1,1,28,2,0,0,1,2
1893,2,1933,1,1,3,3,8,2,0,1,1,28,2,1,1,1,2
1922,1,1949,1,1,3,3,1,2,0,1,1,28,2,0,1,1,2
1922,2,1952,2,2,3,2,7,2,0,1,1,28,2,1,0,1,2
1934,1,1939,1,1,4,4,1,2,0,3,2,28,2,1,1,1,1
1934,2,1959,2,2,5,5,1,2,0,3,2,28,2,0,0,1,1
1952,1,1953,1,1,3,2,1,4,2,1,2,28,3,1,1,1,2
1952,2,1956,2,2,3,2,7,4,2,1,2,28,3,0,0,1,2
1952,3,1988,1,5,5,3,6,4,2,1,2,28,3,0,0,1,2
1952,4,1990,1,5,5,5,1,4,2,1,2,28,3,0,0,1,2
1968,1,1958,1,1,3,3,1,1,0,1,1,28,1,1,1,0,2
1973,1,1953,1,1,5,5,1,1,0,1,1,28,1,1,1,0,2
1985,1,1959,1,1,3,3,1,3,1,3,5,30,3,1,1,1,1
1985,2,1969,2,2,4,4,3,3,1,3,5,30,3,0,0,1,1
1985,3,1996,1,5,2,2,6,3,1,3,5,30,3,0,0,1,1
1997,1,1934,1,1,5,5,8,2,0,4,4,25,2,0,1,1,1
1997,2,1935,2,2,3,3,7,2,0,4,4,25,2,1,0,1,1
2014,1,1958,1,1,3,3,1,4,2,2,1,27,3,1,1,1,1
2014,2,1964,2,2,3,3,7,4,2,2,1,27,3,0,0,1,1
2014,3,1997,2,5,2,8,6,4,2,2,1,27,3,0,0,1,1
2014,4,2001,2,5,2,8,6,4,2,2,1,27,3,0,0,1,1
2049,1,1944,1,1,3,3,8,1,0,2,2,28,1,1,1,0,2
2060,1,1929,2,2,3,3,8,2,0,1,1,28,2,1,0,1,1
2060,2,1931,1,1,7,6,8,2,0,1,1,28,2,0,1,1,1
2108,2,1956,2,1,3,3,9,1,0,3,2,27,1,1,1,0,2
2110,1,1930,1,1,3,3,8,2,0,1,1,27,2,1,1,1,2
2110,2,1931,2,2,4,4,8,2,0,1,1,27,2,0,0,1,2
2117,1,1948,1,1,7,7,1,2,0,4,5,30,2,0,1,1,1
2117,2,1948,2,2,7,6,1,2,0,4,5,30,2,1,0,1,1
2119,1,1928,1,1,6,6,8,2,0,1,1,28,2,1,1,1,1
2119,2,1939,2,2,3,2,7,2,0,1,1,28,2,0,0,1,1
2139,1,1928,1,1,6,6,8,1,0,3,4,25,1,1,1,0,1
2165,1,1941,1,1,5,5,8,2,0,3,5,30,2,1,1,1,1
2165,2,1942,2,2,3,3,7,2,0,3,5,30,2,0,0,1,1
2184,1,1956,1,1,7,6,1,5,3,5,4,25,3,1,1,1,1
2184,2,1961,2,2,6,6,1,5,3,5,4,25,3,0,0,1,1
2184,3,1995,1,5,2,2,13,5,3,5,4,25,3,0,0,1,1
2184,4,1998,1,5,2,8,13,5,3,5,4,25,3,0,0,1,1
2184,6,2001,1,5,8,8,13,5,3,5,4,25,3,0,0,1,1
2189,1,1939,2,1,6,6,8,1,0,2,2,27,1,1,1,0,1
2197,1,1938,1,1,3,3,8,2,0,5,5,30,2,0,0,1,2
2197,2,1942,2,2,6,6,8,2,0,5,5,30,2,1,1,1,2
2200,1,1960,1,1,3,3,1,4,2,5,3,22,3,1,1,1,1
2200,2,1957,2,2,5,5,1,4,2,5,3,22,3,0,0,1,1
2200,3,1994,2,5,4,2,6,4,2,5,3,22,3,0,0,1,1
2200,5,1997,2,5,2,8,6,4,2,5,3,22,3,0,0,1,1
2244,1,1953,2,2,3,3,12,2,0,4,3,21,2,0,0,1,1
2244,3,1950,1,1,5,5,1,2,0,4,3,21,2,1,1,1,1
2253,1,1937,2,1,3,3,7,1,0,3,2,26,1,1,1,0,1
2266,1,1961,2,1,5,5,1,1,0,1,2,27,1,1,1,0,2
2310,1,1932,2,1,4,2,9,1,0,4,4,25,1,1,1,0,2
2311,1,1927,1,1,4,4,8,2,0,5,2,28,2,1,1,1,1
2311,2,1935,2,2,4,4,8,2,0,5,2,28,2,0,0,1,1
2318,1,1931,1,1,6,6,8,1,0,3,5,30,1,1,1,0,1
2338,1,1952,1,1,6,6,1,2,0,3,4,25,2,1,1,1,1
2338,2,1952,2,2,5,5,1,2,0,3,4,25,2,0,0,1,1
2355,1,1936,1,1,5,5,8,2,0,2,1,27,2,0,1,1,1
2355,2,1940,2,2,5,5,8,2,0,2,1,27,2,1,0,1,1
2386,1,1930,2,2,2,2,7,2,0,3,3,22,2,0,0,1,1
2386,2,1931,1,1,3,3,8,2,0,3,3,22,2,1,1,1,1
2471,1,1951,2,1,7,4,9,1,0,1,1,27,1,1,1,0,2
2489,1,1935,1,1,5,5,8,2,0,2,2,26,2,0,1,1,1
2489,2,1937,2,2,4,4,7,2,0,2,2,26,2,1,0,1,1
2501,1,1955,1,1,3,3,1,2,0,3,2,26,2,1,1,1,2
2501,2,1957,2,2,3,3,1,2,0,3,2,26,2,0,0,1,2
2510,1,1937,2,2,3,3,8,2,0,4,2,27,2,0,0,1,1
2510,2,1940,1,1,6,6,8,2,0,4,2,27,2,1,1,1,1
2556,1,1936,1,1,3,3,8,2,0,3,5,30,2,0,1,1,2
2556,2,1937,2,2,3,3,8,2,0,3,5,30,2,1,0,1,2
2594,1,1931,1,1,5,3,8,2,0,4,5,30,2,1,1,1,1
2594,2,1938,2,2,3,3,8,2,0,4,5,30,2,0,0,1,1
2597,1,1950,1,1,7,4,8,2,0,4,5,30,2,1,1,1,1
2597,2,1952,2,2,3,3,2,2,0,4,5,30,2,0,0,1,1
2617,1,1943,1,1,3,3,8,2,0,3,4,25,2,1,1,1,1
2617,2,1943,2,2,3,3,8,2,0,3,4,25,2,0,0,1,1
2628,1,1940,1,1,3,3,8,2,0,3,2,26,2,1,1,1,2
2628,2,1943,2,2,3,3,8,2,0,3,2,26,2,0,0,1,2
2635,1,1919,1,1,6,3,8,1,0,3,4,25,1,1,1,0,2
2652,1,1951,1,1,6,6,3,3,1,2,2,26,3,1,0,1,1
2652,2,1960,2,2,6,6,1,3,1,2,2,26,3,0,1,1,1
2652,3,1998,2,5,2,8,6,3,1,2,2,26,3,0,0,1,1
2757,1,1942,1,1,5,5,8,2,0,2,5,30,2,0,1,1,1
2757,2,1943,2,2,3,3,7,2,0,2,5,30,2,1,0,1,1
2775,1,1946,1,1,6,5,8,6,1,5,5,30,5,0,1,1,1
2775,2,1948,2,2,6,6,3,6,1,5,5,30,5,1,0,1,1
2775,3,1973,2,5,7,7,1,6,1,5,5,30,5,0,0,1,1
2775,4,1967,1,7,7,7,1,6,1,5,5,30,5,0,0,1,1
2775,5,2005,1,7,8,8,13,6,1,5,5,30,5,0,0,1,1
2775,6,2007,1,7,8,8,13,6,1,5,5,30,5,0,0,1,1
2786,1,1935,1,1,6,6,8,2,0,2,5,30,2,1,1,1,2
2786,2,1939,2,2,3,2,7,2,0,2,5,30,2,0,0,1,2
2824,1,1965,1,1,3,3,1,4,2,4,5,30,3,0,1,1,2
2824,2,1968,2,2,3,3,4,4,2,4,5,30,3,1,0,1,2
2824,3,1993,2,5,4,2,6,4,2,4,5,30,3,0,0,1,2
2824,4,1995,1,5,4,2,6,4,2,4,5,30,3,0,0,1,2
2863,1,1960,1,1,6,6,1,5,3,4,4,25,3,1,1,1,1
2863,2,1967,2,2,6,6,1,5,3,4,4,25,3,0,0,1,1
2863,3,1994,1,5,3,2,6,5,3,4,4,25,3,0,0,1,1
2863,4,1996,1,5,4,2,6,5,3,4,4,25,3,0,0,1,1
2863,5,2001,2,5,2,8,6,5,3,4,4,25,3,0,0,1,1
2934,1,1943,2,1,6,6,8,1,0,1,1,28,1,1,1,0,1
2944,1,1942,1,1,3,3,8,2,0,4,4,23,2,0,1,1,1
2944,2,1942,2,2,5,5,7,2,0,4,4,23,2,1,0,1,1
2983,1,1938,2,2,2,2,8,2,0,4,5,30,2,0,0,1,1
2983,2,1938,1,1,6,6,8,2,0,4,5,30,2,1,1,1,1
3016,1,1939,1,1,5,5,8,2,0,4,5,31,2,1,1,1,1
3016,2,1933,2,2,5,9,8,2,0,4,5,31,2,0,0,1,1
3076,1,1961,1,1,4,4,1,5,3,2,2,28,3,1,1,1,1
3076,2,1964,2,2,5,5,1,5,3,2,2,28,3,0,0,1,1
3076,3,1990,1,5,5,3,6,5,3,2,2,28,3,0,0,1,1
3076,4,1994,1,5,4,2,6,5,3,2,2,28,3,0,0,1,1
3076,5,1996,2,5,3,2,6,5,3,2,2,28,3,0,0,1,1
3086,1,1950,1,1,3,3,1,2,0,2,5,30,2,0,1,1,2
3086,2,1951,2,2,3,3,7,2,0,2,5,30,2,1,0,1,2
3096,1,1931,2,2,4,4,7,2,0,4,5,30,2,0,0,1,1
3096,2,1935,1,1,5,5,11,2,0,4,5,30,2,1,1,1,1
3153,1,1934,1,1,5,5,8,2,0,5,5,30,2,1,1,1,1
3153,2,1938,2,2,3,3,7,2,0,5,5,30,2,0,0,1,1
3175,1,1942,2,1,7,4,8,1,0,4,5,30,1,1,1,0,1
3222,1,1962,2,2,7,6,1,4,2,3,4,25,3,1,0,1,1
3222,2,1961,1,1,5,5,1,4,2,3,4,25,3,0,1,1,1
3222,3,1998,1,5,2,8,13,4,2,3,4,25,3,0,0,1,1
3222,4,2001,2,5,2,8,13,4,2,3,4,25,3,0,0,1,1
3270,1,1953,1,1,6,6,1,4,2,5,2,28,3,1,1,1,1
3270,2,1954,2,2,3,3,11,4,2,5,2,28,3,0,0,1,1
3270,3,1989,1,5,4,4,6,4,2,5,2,28,3,0,0,1,1
3270,4,1991,1,5,1,8,6,4,2,5,2,28,3,0,0,1,1
3277,1,1931,1,1,4,4,8,2,0,2,5,30,2,0,1,1,2
3277,2,1936,2,2,3,3,7,2,0,2,5,30,2,1,0,1,2
3297,1,1954,1,1,5,5,1,4,3,4,3,20,4,1,1,0,1
3297,3,1994,1,5,3,2,13,4,3,4,3,20,4,0,0,0,1
3297,4,1996,1,5,2,2,13,4,3,4,3,20,4,0,0,0,1
3297,5,1999,1,5,2,8,13,4,3,4,3,20,4,0,0,0,1
3408,1,1934,1,2,3,3,8,2,0,5,2,28,2,0,1,1,1
3408,2,1939,2,1,3,3,7,2,0,5,2,28,2,1,0,1,1
3439,1,1936,1,3,3,3,8,2,0,2,4,25,2,1,0,1,1
3439,2,1945,1,1,6,6,8,2,0,2,4,25,2,0,1,1,1
